,Nation,Hubei,Outside
2020-01-16,NaN,45.0,NaN
2020-01-17,NaN,62.0,NaN
2020-01-18,NaN,121.0,NaN
2020-01-19,NaN,198.0,NaN
2020-01-20,291.0,270.0,21.0
2020-01-21,440.0,375.0,65.0
2020-01-22,571.0,444.0,127.0
2020-01-23,830.0,549.0,281.0
2020-01-24,1287.0,729.0,558.0
2020-01-25,1975.0,1052.0,923.0
2020-01-26,2744.0,1423.0,1321.0
2020-01-27,4515.0,2714.0,1801.0
2020-01-28,5974.0,3554.0,2420.0
2020-01-29,7710.0,4586.0,3124.0
2020-01-30,9689.0,5806.0,3883.0
2020-01-31,11790.0,7153.0,4637.0
2020-02-01,14376.0,9074.0,5302.0
2020-02-02,17203.0,11177.0,6026.0
2020-02-03,20437.0,13522.0,6915.0
2020-02-04,24324.0,16678.0,7646.0
2020-02-05,28018.0,19665.0,8353.0
2020-02-06,31147.0,22112.0,9035.0
2020-02-07,34542.0,24953.0,9589.0
2020-02-08,37109.0,27013.0,10096.0
2020-02-09,40158.0,29631.0,10527.0
2020-02-10,42638.0,31728.0,10910.0
2020-02-11,44653.0,33366.0,11287.0
2020-02-12,58761.0,47163.0,11598.0
2020-02-13,63851.0,51964.0,11887.0
2020-02-14,66491.0,54406.0,12085.0
2020-02-15,68500.0,56238.0,12262.0
2020-02-16,70550.0,58144.0,12406.0
2020-02-17,72436.0,59925.0,12511.0
2020-02-18,74185.0,61682.0,12503.0
2020-02-19,75002.0,62457.0,12545.0
2020-02-20,75891.0,63088.0,12803.0
2020-02-21,76288.0,63454.0,12834.0
2020-02-22,76741.0,63889.0,12852.0
2020-02-23,77150.0,64287.0,12863.0
2020-02-24,77658.0,64786.0,12872.0
2020-02-25,78064.0,65187.0,12877.0
2020-02-26,78497.0,65596.0,12901.0
2020-02-27,78824.0,65914.0,12910.0
2020-02-28,79251.0,66337.0,12914.0
2020-02-29,79824.0,66907.0,12917.0
2020-03-01,80026.0,67103.0,12923.0
2020-03-02,80151.0,67217.0,12934.0
2020-03-03,80270.0,67332.0,12938.0
2020-03-04,80409.0,67466.0,12943.0
2020-03-05,80552.0,67592.0,12960.0
2020-03-06,80651.0,67666.0,12985.0
2020-03-07,80695.0,67707.0,12988.0
2020-03-08,80735.0,67743.0,12992.0
2020-03-09,80754.0,67760.0,12994.0
2020-03-10,80778.0,67773.0,13005.0
2020-03-11,80793.0,67781.0,13012.0
2020-03-12,80813.0,67786.0,13027.0
2020-03-13,80824.0,67790.0,13034.0
2020-03-14,80844.0,67794.0,13050.0
2020-03-15,80860.0,67798.0,13062.0
2020-03-16,80881.0,67799.0,13082.0
2020-03-17,80894.0,67800.0,13094.0
2020-03-18,80928.0,67800.0,13128.0
2020-03-19,80967.0,67800.0,13167.0
2020-03-20,81008.0,67800.0,13208.0
2020-03-21,81054.0,67800.0,13254.0
2020-03-22,81093.0,67800.0,13293.0
2020-03-23,81171.0,67801.0,13370.0
2020-03-24,81218.0,67801.0,13417.0
2020-03-25,81285.0,67801.0,13484.0
2020-03-26,81340.0,67801.0,13539.0
2020-03-27,81394.0,67801.0,13593.0
