厂名,注册资本,地址,产品,批准编号
龙岩市洁尔奇新型材料有限公司,3,000万(元),福建省龙岩市连城县莲峰镇工业园区工业二路1号(海峡生物医药产业园),医用外科口罩(非无菌型),闽械注准20202140101（临时）
龙岩市洁尔奇新型材料有限公司,3,000万(元),福建省龙岩市连城县莲峰镇工业园区工业二路1号(海峡生物医药产业园),一次性使用医用口罩(非无菌型),闽械注准20202140085（临时）
龙山县济德医疗用品有限公司,200万(元),湖南省湘西土家族苗族自治州龙山县民安街道红星村龙山工业集中区标准厂房3号楼3层,一次性使用医用口罩（非无菌型）,湘械注准20202140349
齐齐哈尔恒鑫医疗用品有限公司,500万(元),黑龙江省齐齐哈尔市铁锋区曙光大街北端铁锋区中小工业园北疆路,一次性使用医用口罩,黑械临注20202140013
齐齐哈尔恒鑫医疗用品有限公司,500万(元),黑龙江省齐齐哈尔市铁锋区曙光大街北端铁锋区中小工业园北疆路,一次性使用医用外科口罩,黑械临注20202140009
齐齐哈尔恒鑫医疗用品有限公司,500万(元),黑龙江省齐齐哈尔市铁锋区曙光大街北端铁锋区中小工业园北疆路,一次性使用医用口罩,黑械注准20142140055
黑龙江省锟龙泽医药有限公司,2,000万(元),黑龙江省绥化市望奎县经济开发区交通街587号,一次性使用医用口罩,黑械临注20202140006
黑龙江省铂康医疗灭菌有限公司,2,500万(元),哈尔滨经开区哈南工业新城星海路20号A栋1-2层,一次性使用医用外科口罩,黑械临注20202140038
黑龙江汉方康制药有限公司,335万(元),哈尔滨市利民开发区台北街,一次性使用医用口罩,黑械临注20202140035
黑龙江参鸽药业有限公司,4,695.65万(元),齐齐哈尔市富拉尔基区开发区纬四路南纬五路北,一次性使用医用口罩,黑械临注20202140026
黑龙江参鸽药业有限公司,4,695.65万(元),齐齐哈尔市富拉尔基区开发区纬四路南纬五路北,一次性使用医用外科口罩,黑械临注20202140040
黑龙江升华医疗器械有限公司,10,000万(元),黑龙江省七台河市新兴区金沙新区金河产业园区,一次性使用医用口罩,黑械临注20202140021
黑龙江升华医疗器械有限公司,10,000万(元),黑龙江省七台河市新兴区金沙新区金河产业园区,一次性使用医用外科口罩,黑械临注20202140022
鹰潭荣嘉集团医疗器械实业有限公司,10,000万(元),江西省鹰潭市余江县余江工业园区,医用外科口罩,赣械注准20202140045
鹰潭荣嘉集团医疗器械实业有限公司,10,000万(元),江西省鹰潭市余江县余江工业园区,一次性使用医用口罩,赣械注准20202140046
鹤壁市黎阳李医疗器械有限公司,500万(元),浚县产业集聚区浚州大道（中段）,医用口罩,豫械注准20182140916
鹤壁市黎阳李医疗器械有限公司,500万(元),浚县产业集聚区浚州大道（中段）,医用纱布口罩,豫械注准20182140921
鹤壁市利康卫生材料有限公司,2,000万(元),-,医用外科口罩,豫械注准20172640063
鹤壁市利康卫生材料有限公司,2,000万(元),-,一次性使用医用口罩,豫械注准20172640015
驻马店市永生医疗器械有限公司,1,100万(元),驻马店市刘阁办事处,一次性使用医用口罩,豫械注准20182640016
首航洁能(泉州)医疗科技有限公司,3,000万(元),福建省泉州市南安市美林街道办事处珠渊村山脚1号一层、二层,一次性使用医用口罩(无菌型和非无菌型),闽械注准20202140177（临时）
韩奈（天津）生物科技有限公司,100万(元),天津市北辰区小淀镇温家房子村温东三支路2号内一区,一次性使用医用口罩,津械注准20202140861
青州尧王制药有限公司,33,583.11万(元),山东省青州市经济开发区纽约路3787号,医用防护口罩,鲁械注准20202140285
青州尧王制药有限公司,33,583.11万(元),山东省青州市经济开发区纽约 路3787号,医用外科口罩,鲁械注准20202140193
青州尧王制药有限公司,33,583.11万(元),山东省青州市经济开发区纽约路3787号,一次性使用医用口罩,鲁械注准20202140194
青岛黑盾防护科技有限公司,100万(元),山东省青岛市城阳区赵哥庄社区（青岛新联工贸有限公司院内六号西厂房）,一次性使用医用口罩,鲁械注准20202140138
青岛酷特智能股份有限公司,18,000万(元),山东省青岛市即墨区红领大街17号,一次性使用医用口罩,鲁械注准20202140282
青岛通惠服装有限公司,1,900万(美元),青岛市红岛经济区红岛工业园,医用外科口罩,鲁械注准20202140148
青岛科美生物工程有限公司,520万(元),山东省青岛市莱西市姜山镇昌佳路7号,一次性使用医用口罩,鲁械注准20172640395
青岛盛久医疗用品有限公司,318万(元),青岛莱西市水集街道办事处梅山路东段北侧,医用防护口罩,鲁械注准20152140382
青岛盛久医疗用品有限公司,318万(元),青岛莱西市水集街道办事处梅山路东段北侧,医用外科口罩,鲁械注准20152140383
青岛盛久医疗用品有限公司,318万(元),青岛莱西市水集街道办事处梅山路东段北侧,医用防护口罩,鲁械注准20152640382
青岛盛久医疗用品有限公司,318万(元),青岛莱西市水集街道办事处梅山路东段北侧,医用外科口罩,鲁械注准20152640383
青岛海诺生物工程有限公司,2,000万(元),青岛市莱西市姜山镇工业园,一次性使用医用口罩（非外科用）,鲁械注准20162640494
青岛海诺生物工程有限公司,2,000万(元),青岛市莱西市姜山镇工业园,一次性使用医用外科口罩,鲁械注准20162640493
青岛明药堂医疗股份有限公司,3,731.8万(元),青岛高新技术产业开发区锦业路1号A1座二、三、四层,医用防护口罩,鲁械注准20162640185
青岛圣德海思医疗科技有限公司,200万(元),山东省青岛市即墨区大信镇福达路6号附2,一次性使用医用口罩,鲁械注准20202140296
青岛圣德海思医疗科技有限公司,200万(元),山东省青岛市即墨区大信镇福达路6号附2,一次性使用医用外科口罩,鲁械注准20202140297
青岛卫康利医疗器械有限公司,1,000万(元),青岛即墨市华山三路东区2号,医用外科口罩,鲁械注准20162640602
青岛利康源医疗器械有限公司,1,000万(元),山东省青岛市黄岛区雷公山路257号（原胶南市临港三路289号）,医用外科口罩,鲁械注准20202140308
青岛利康源医疗器械有限公司,1,000万(元),山东省青岛市黄岛区雷公山路257号（原胶南市临港三路289号）,一次性使用医用口罩,鲁械注准20202140309
雅安市康乐医疗器械有限责任公司,800万(元),雅安市雨城区南郊乡狮子村,一次性使用医用口罩,川械注应急准20202140038
陕西远光高科技有限公司,1,100万(元),陕西省西安市雁塔区科技西路58号鱼化工业园西北总部基地B5栋,医用防护口罩,陕械注准20202140041
陕西远光高科技有限公司,1,100万(元),陕西省西安市雁塔区科技西路58号鱼化工业园西北总部基地B5栋,医用外科口罩,陕械注准20202140042
陕西远光高科技有限公司,1,100万(元),陕西省西安市雁塔区科技西路58号鱼化工业园西北总部基地B5栋,一次性使用医用口罩,陕械注准20202140040
陕西英豪科技信息有限公司,1,000万(元),陕西省宝鸡市金台区宝虢路80号鹏博财富中心5号楼A座7层1号,医用外科口罩,陕械注准20202140049
陕西英豪科技信息有限公司,1,000万(元),陕西省宝鸡市金台区宝虢路80号鹏博财富中心5号楼A座7层1号,一次性使用医用口罩,陕械注准20202140047
