name,money,addr
贵州一龙熔喷布制造有限公司,12000万元人民币,贵州省遵义市红花岗区深溪镇盈田工谷37号厂房整栋
四平市东昇熔喷布制造有限公司,1000万元人民币,四平市铁东区平东东路西侧
贵州富源卓致熔喷布贸易有限公司,380万元人民币,贵州省黔南州福泉市马场坪办事处工业园区3#标准化厂房四楼
瑞安市华亮熔喷布新材料有限公司,100万元人民币,浙江省温州市瑞安市瑞安经济开发区发展区港口大道399号(浙江建达机械有限公司内5幢1楼)
伊春市诺德熔喷非织造布有限公司,500万元人民币,黑龙江省伊春市上甘岭区森林街1069幢号
台州东海翔熔喷非织造布有限公司,550万元人民币,浙江省台州市临海市杜桥镇杜南大道3091号
扬州中创熔喷非织造布制造有限公司,100万元人民币,高邮市送桥镇扬菱路向西150米
宁波益体熔喷非织造布有限公司,150万元人民币,慈溪市宗汉街道百两桥村
哈尔滨市道外区海堂熔喷布厂,,哈尔滨市道外区团结镇程家村
瑞安市大银熔喷布加工厂,,浙江省温州市瑞安市东山街道望江新街118号一楼
丹阳市丹北镇厚德熔喷布厂,20万元人民币,丹阳市丹北镇埤城城中村
丹阳市界牌镇洪辰熔喷布厂,10万元人民币,丹阳市界牌镇界南工业园
丹阳市丹北镇沃恒熔喷布厂,20万元人民币,丹阳市丹北镇埤城城中村
丹阳市丹北镇尚亿熔喷布厂,20万元人民币,丹阳市丹北镇埤城村
丹阳市界牌镇龙峰熔喷布厂,10万元人民币,丹阳市界牌镇界北村长江渔场中山灯具厂内
怀远县榴城塑宝熔喷布加工厂,,安徽省蚌埠市怀远县榴城镇经济开发区兴业路5号院内3号门
丹阳市界牌镇凯拓熔喷布厂,20万元人民币,丹阳市界牌镇武阳工业园
丹阳市访仙镇华俊熔喷布厂,50万元人民币,丹阳市访仙镇独山村土桥
丹阳市界牌镇荣吉熔喷布厂,20万元人民币,丹阳市界牌镇界中工业园
丹阳市丹北镇真善美熔喷布厂,10万元人民币,丹阳市丹北镇埤城常兴村常六工业园
常德通通帮医疗科技有限公司,500万元人民币,湖南省常德经济技术开发区石门桥镇上街社区(社区7栋1层101室)
丹阳市丹北镇伊动熔喷布厂,20万元人民币,丹阳市丹北镇埤城尧巷
丹阳市丹北镇绿艳熔喷布厂,20万元人民币,丹阳市丹北镇埤城唯益工业园
丹阳市丹北镇仁通熔喷布厂,20万元人民币,丹阳市丹北镇埤城村林常路
丹阳市陵口镇河润熔喷布厂,30万元人民币,丹阳市陵口镇大王庄201县道旁
丹阳市界牌镇栋成熔喷布厂,20万元人民币,丹阳市界牌镇界中工业园
丹阳市界牌镇束超熔喷布厂,20万元人民币,丹阳市界牌镇界中工业园
丹阳市丹北镇双喜熔喷布制造厂,500万元人民币,丹阳市丹北镇长春园
丹阳市丹北镇亿涵熔喷布厂,50万元人民币,丹阳市丹北镇前巷村徐巷(沿江工具厂内)
宜兴市官林镇达迅熔喷布经营部,3万元人民币,宜兴市官林镇新官西路
天津泰达洁净材料有限公司,8000万元人民币,天津开发区第三大街16号
上海港凯净化制品有限公司,80万美元,上海市松江区车墩镇香亭路382号
连云港柏德实业有限公司,3900万美元,连云港市东海开发区晶都路北、晶宸路南
上海精发实业股份有限公司,5000万元人民币,上海市金山区亭林镇林盛路28号
泉州市百川熔喷科技有限公司,3000万元人民币,福建省泉州市石狮市蚶江镇海峡两岸科技孵化基地研发楼5楼502
大连瑞源非织造布有限公司,1824万美元,辽宁省大连市金州区西南窑100号
江西天滤新材料股份有限公司,1000万元人民币,江西省九江市浔阳区三号工业园津晶城科技园20号楼102.202
江苏盛纺纳米材料科技股份有限公司,5955.5572万元人民币,巴城镇正仪通澄南路2号2、3号房
开平华士达制布企业有限公司,1772.5万美元,开平市长沙东郊
高密宏泰机床制造有限公司,2000万元人民币,山东省潍坊市高密市三真大道西平安大道北
晋江市兴泰无纺制品有限公司,1050万美元,晋江市五里工业园区
江苏金美达新材料有限公司,4561万元人民币,泗洪县经济开发区淮河西路19号
上海名冠净化材料股份有限公司,2270.7万元人民币,上海市嘉定区园国路1185号4幢1层B区
湖南欣龙非织造材料有限公司,8300万元人民币,津市工业集中区团湖大道西侧
浙江朝隆纺织机械股份有限公司,8070万元人民币,浙江省温州市瓯海仙岩工业园勤丰路62号
山西相明医疗器械有限公司,5000万元人民币,山西省长治市潞州区南环东街148号唯美诺科技园068号
河南健德材料科技有限公司,1000万元人民币,郑州航空港经济综合实验区华夏大道与人民路交叉口智能终端(手机)产业园24号楼
江苏六鑫洁净新材料有限公司,8600万元人民币,泗洪县经济开发区香江路北侧
深圳市中村科技实业有限公司,500万元人民币,深圳市宝安区松岗镇沙浦村欧洲之窗工业区
山东景云新材料有限公司,2000万元人民币,济宁高新区黄屯街道办事处西浦路116号
