企业名称,注册资本,企业地址
青岛鸿圣纺织机械有限公司,1000万元人民币,山东省青岛市黄岛区王台镇王黄公路368号
青岛嘉源纺织机械有限公司,300万元人民币,青岛胶州市九龙镇高家洼村
青岛山石纺织机械有限公司,50万元人民币,青岛胶州市洋河镇山相家村东
青岛华瑞纺织机械制造有限公司,300万元人民币,青岛市黄岛区王台镇驻地
青岛金三阳纺织机械有限公司,50万元人民币,山东省青岛市黄岛区王台镇王台路西端128号
青岛同佳纺织机械有限公司,50万元人民币,青岛胶州市洋河镇袁家小庄村东
青岛永佳纺织机械制造有限公司,50万元人民币,青岛市黄岛区王台镇河南薛村
青岛云龙纺织机械有限公司,133.9万元人民币,即墨市“青岛服装工业园”中端
青岛利化纺织机械有限公司,100万美元,山东省青岛市黄岛区海滨工业园双大路十号路东
青岛鹏宇纺织机械有限公司,50万元人民币,山东省青岛市城阳区长城南路6号首创纺配商城仓储中心
青岛德隆德昌纺织机械有限公司,2000万元人民币,山东省青岛市黄岛区王台镇庄家茔村
青岛昌源隆纺织机械有限公司,300万元人民币,山东省青岛市黄岛区王台镇崖逄村北289号
青岛金圣源纺织机械有限公司,1000万元人民币,山东省青岛市黄岛区王台镇工业园69号
青岛亿佳纺织机械有限公司,50万元人民币,青岛市黄岛区王台镇前村
青岛仁德纺织机械有限公司,100万元人民币,青岛胶州市洋河镇袁家小庄村
青岛青纺纺织机械有限公司,500万元人民币,山东省青岛市胶州市洋河镇艾山工业园西
青岛汇纺纺织机械有限公司,500万元人民币,山东省青岛胶州市洋河工业园
青岛金誉佳纺织机械有限公司,30万元人民币,山东省青岛市黄岛区王台镇环台东路33号
青岛潇容纺织机械有限公司,50万元人民币,青岛胶州市里岔镇河北村东首
青岛金德丰纺织机械有限公司,500万元人民币,青岛胶州市洋河镇袁家小庄村
青岛聚合胜纺织机械有限公司,300万元人民币,山东省青岛市黄岛区香海路7号
青岛维百恩纺织机械有限公司,200万元人民币,山东省青岛市黄岛区王台镇郎中沟村后
青岛金德诺纺织机械有限公司,50万元人民币,青岛市黄岛区王台镇驻地
青岛皓东阳纺织机械有限公司,30万元人民币,山东省青岛市胶州市洋河镇钟家辛庄
青岛炜华纺织机械制造有限公司,50万元人民币,青岛市黄岛区王台镇王黄公路120吨磅后
青岛坤隆引春纺织机械有限公司,100万元人民币,山东省青岛市胶州市洋河镇袁家小庄工业园
青岛精佳纺织机械制造有限公司,50万元人民币,山东省青岛市黄岛区王台镇
青岛国之傲纺织机械有限公司,100万元人民币,青岛市黄岛区临港经济开发区临港一路
青岛茂兴纺织机械制造有限公司,10万元人民币,青岛胶州市三里河街道办事处赵家小庄村
青岛合力纺织机械厂,,青岛市黄岛区铁橛山路399号
胶南市新顺吉纺织机械厂,,山东省青岛市黄岛区王台镇王台北村
青岛源泉机械有限公司,50万元人民币,山东省青岛市胶州市洋河镇艾山工业聚集区
青岛伊美环境工程有限公司,3000万元人民币,山东省青岛市黄岛区滨海街道办事处峄山路386号
青岛科佳源纺织科技有限公司,500万元人民币,山东省青岛市黄岛区茂山路369号4楼
青岛同利佳机械科技有限公司,1533.4万美元,青岛市黄岛区王台镇环台北路388号
青岛允春贵春机械科技有限公司,500万元人民币,山东省青岛市黄岛区王台镇工业园东端
青岛万华机械有限公司,50万元人民币,山东省青岛市黄岛区王台镇石梁刘村村东
青岛亚大工业有限公司,45.88万美元,山东省青岛即墨市南泉工业园
青岛犇翔铁艺艺术股份有限公司,1200万元人民币,青岛即墨市北安办事处营东村
青岛亚东机械集团有限公司,1000万元人民币,青岛黄岛区王台镇安康路146号
青岛利旺达机械有限公司,100万元人民币,山东省青岛市黄岛区王台镇庄家茔村工业小区
青岛环豪机械有限公司,2000万元人民币,青岛黄岛区王台镇驻地
青岛东昌瑞纺织品有限公司,100万元人民币,青岛市李沧区九水东路320号3楼303-1室
青岛伊思达机械制造有限公司,1600万元人民币,青岛市黄岛区滨海街道办事处王家村
青岛昌佳机械有限公司,3000万元人民币,青岛市黄岛区铁橛山路(原铁山西路65号)
青岛亿祥机械有限公司,2000万元人民币,青岛市黄岛区王台镇北村村北
青岛世誉双羊机械制造有限公司,1050万元人民币,山东省青岛市黄岛区六汪镇驻地
青岛利维机械制造有限公司,1000万元人民币,青岛市黄岛区王台镇诸黄路西端
青岛乔腾机械有限公司,6000万元人民币,山东省青岛市黄岛区王台镇石灰窑北村127号
青岛滨海金成铸造机械有限公司,5000万元人民币,青岛市黄岛区海西路208号
山东通利机械制造有限公司,300万元人民币,青岛市市南区福州南路9号
青岛鸿阳泽机械制造有限公司,200万元人民币,山东省青岛市黄岛区珠海街道办事处嘉富路北端刘家园村
青岛七星达机械有限公司,1000万美元,山东省青岛市保税港区青岛出口加工区配套区管委楼西1500米
青岛爱斯希机械有限公司,4532.96万元人民币,青岛即墨市龙泉镇(青岛北部工业园龙泉河三路北)
青岛恒亮机械有限公司,1000万元人民币,山东省青岛市黄岛区珠山街道办事处松园村
青岛亚东纺织品制造有限公司,48万元人民币,山东省青岛市黄岛区胶河路75号北侧
青岛华青恒达机械有限公司,500万元人民币,青岛市黄岛区喜鹊山路(原黄山路362号)
青岛金纺允春机械有限公司,48万元人民币,青岛市黄岛区王台镇王黄路88号
青岛嘉会机械有限公司,10万元人民币,青岛市黄岛区王台镇驻地
青岛莱弗特机械有限公司,6000万元人民币,青岛市黄岛区海滨工业园
青岛龙丰伟业机械有限公司,50万元人民币,青岛市黄岛区王台镇台中路41号
青岛日丰锦机械制造有限公司,1000万元人民币,山东省青岛市黄岛区宝山镇尚庄村铁栾路东
青岛恒川机械有限公司,10万元人民币,青岛市黄岛区王台镇石梁刘村
青岛同运泰机械制造有限公司,10万元人民币,青岛黄岛区王台镇东漕汶村
青岛坤源机械有限公司,800万元人民币,青岛市黄岛区灵鹊山路427号
青岛盛德隆机械有限公司,50万元人民币,青岛市黄岛区王台镇驻地
青岛华杰康纺织股份有限公司,520万元人民币,青岛市胶州市云溪街道办事处胶州湾工业园1号路东8号路南
