日期,全部,pc,移动
2019-12-01,122,59,63
2019-12-02,140,57,83
2019-12-03,74,,74
2019-12-04,128,59,69
2019-12-05,140,57,83
2019-12-06,74,,74
2019-12-07,132,61,71
2019-12-08,146,57,89
2019-12-09,137,59,78
2019-12-10,143,57,86
2019-12-11,78,,78
2019-12-12,136,57,79
2019-12-13,120,57,63
2019-12-14,71,,71
2019-12-15,141,57,84
2019-12-16,137,59,78
2019-12-17,78,,78
2019-12-18,66,,66
2019-12-19,70,,70
2019-12-20,74,,74
2019-12-21,131,57,74
2019-12-22,74,,74
2019-12-23,67,,67
2019-12-24,74,,74
2019-12-25,79,,79
2019-12-26,79,,79
2019-12-27,63,,63
2019-12-28,74,,74
2019-12-29,69,,69
2019-12-30,127,57,70
2019-12-31,137,57,80
2020-01-01,128,57,71
2020-01-02,71,,71
2020-01-03,128,57,71
2020-01-04,67,,67
2020-01-05,126,57,69
2020-01-06,136,57,79
2020-01-07,70,,70
2020-01-08,125,59,66
2020-01-09,67,,67
2020-01-10,117,57,60
2020-01-11,67,,67
2020-01-12,65,,65
2020-01-13,69,,69
2020-01-14,66,,66
2020-01-15,73,,73
2020-01-16,120,57,63
2020-01-17,120,57,63
2020-01-18,123,57,66
2020-01-19,70,,70
2020-01-20,248,82,166
2020-01-21,1017,169,848
2020-01-22,1691,237,1454
2020-01-23,2328,282,2046
2020-01-24,1376,166,1210
2020-01-25,2212,268,1944
2020-01-26,2722,302,2420
2020-01-27,2411,293,2118
2020-01-28,2275,284,1991
2020-01-29,1800,278,1522
2020-01-30,1663,237,1426
2020-01-31,1581,274,1307
2020-02-01,1481,262,1219
2020-02-02,1499,290,1209
2020-02-03,1377,326,1051
2020-02-04,1258,285,973
2020-02-05,1275,291,984
2020-02-06,1273,264,1009
2020-02-07,1218,226,992
2020-02-08,1167,200,967
2020-02-09,1163,215,948
2020-02-10,1270,310,960
2020-02-11,1163,245,918
2020-02-12,1170,248,922
2020-02-13,1224,284,940
2020-02-14,1181,220,961
2020-02-15,1093,182,911
2020-02-16,1059,166,893
2020-02-17,1109,226,883
2020-02-18,1110,220,890
2020-02-19,1069,205,864
2020-02-20,1079,208,871
2020-02-21,1064,190,874
2020-02-22,1013,152,861
2020-02-23,1021,158,863
2020-02-24,1097,223,874
2020-02-25,1062,209,853
2020-02-26,1046,201,845
2020-02-27,1061,200,861
2020-02-28,1058,209,849
2020-02-29,885,166,719
2020-03-01,834,144,690
2020-03-02,936,198,738
2020-03-03,874,152,722
2020-03-04,836,173,663
2020-03-05,777,142,635
2020-03-06,736,172,564
2020-03-07,601,108,493
2020-03-08,547,108,439
2020-03-09,601,140,461
2020-03-10,596,152,444
2020-03-11,619,155,464
2020-03-12,588,120,468
2020-03-13,622,146,476
2020-03-14,521,89,432
2020-03-15,576,116,460
2020-03-16,631,151,480
2020-03-17,691,152,539
2020-03-18,580,135,445
2020-03-19,545,127,418
2020-03-20,556,123,433
2020-03-21,493,78,415
2020-03-22,503,66,437
2020-03-23,532,135,397
2020-03-24,484,93,391
2020-03-25,515,118,397
2020-03-26,484,104,380
2020-03-27,442,87,355
2020-03-28,413,83,330
2020-03-29,432,80,352
2020-03-30,459,112,347
2020-03-31,392,85,307
2020-04-01,398,97,301
