日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,,,
2019-12-05,58,,58
2019-12-06,57,,57
2019-12-07,,,
2019-12-08,57,,57
2019-12-09,57,,57
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,61,,61
2019-12-13,,,
2019-12-14,,,
2019-12-15,57,,57
2019-12-16,,,
2019-12-17,57,,57
2019-12-18,,,
2019-12-19,,,
2019-12-20,57,,57
2019-12-21,57,,57
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,57,,57
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,58,,58
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,,,
2020-01-09,57,,57
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,57,,57
2020-01-16,57,57,
2020-01-17,,,
2020-01-18,58,,58
2020-01-19,,,
2020-01-20,65,,65
2020-01-21,232,64,168
2020-01-22,427,74,353
2020-01-23,655,74,581
2020-01-24,375,66,309
2020-01-25,672,70,602
2020-01-26,717,76,641
2020-01-27,597,76,521
2020-01-28,560,61,499
2020-01-29,412,70,342
2020-01-30,373,70,303
2020-01-31,334,70,264
2020-02-01,353,72,281
2020-02-02,321,76,245
2020-02-03,308,72,236
2020-02-04,271,66,205
2020-02-05,279,61,218
2020-02-06,365,87,278
2020-02-07,292,64,228
2020-02-08,293,66,227
2020-02-09,289,64,225
2020-02-10,300,76,224
2020-02-11,295,64,231
2020-02-12,290,66,224
2020-02-13,278,66,212
2020-02-14,279,59,220
2020-02-15,246,63,183
2020-02-16,235,61,174
2020-02-17,261,61,200
2020-02-18,256,63,193
2020-02-19,223,64,159
2020-02-20,245,64,181
2020-02-21,234,61,173
2020-02-22,233,59,174
2020-02-23,257,64,193
2020-02-24,255,66,189
2020-02-25,228,57,171
2020-02-26,239,72,167
2020-02-27,227,59,168
2020-02-28,222,59,163
2020-02-29,134,,134
2020-03-01,202,57,145
2020-03-02,211,57,154
2020-03-03,221,61,160
2020-03-04,189,61,128
2020-03-05,211,64,147
2020-03-06,182,61,121
2020-03-07,153,57,96
2020-03-08,83,,83
2020-03-09,159,57,102
2020-03-10,149,57,92
2020-03-11,161,64,97
2020-03-12,187,59,128
2020-03-13,172,59,113
2020-03-14,102,,102
2020-03-15,143,59,84
2020-03-16,167,63,104
2020-03-17,179,61,118
2020-03-18,163,59,104
2020-03-19,169,64,105
2020-03-20,109,,109
2020-03-21,100,,100
2020-03-22,113,,113
2020-03-23,106,,106
2020-03-24,167,59,108
2020-03-25,174,59,115
2020-03-26,93,,93
2020-03-27,168,59,109
2020-03-28,145,59,86
2020-03-29,162,57,105
2020-03-30,156,57,99
2020-03-31,99,,99
2020-04-01,163,59,104
