日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,57,,57
2019-12-16,57,,57
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,57,,57
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,58,,58
2020-01-21,134,63,71
2020-01-22,194,68,126
2020-01-23,222,57,165
2020-01-24,170,61,109
2020-01-25,244,85,159
2020-01-26,257,68,189
2020-01-27,249,78,171
2020-01-28,236,66,170
2020-01-29,235,64,171
2020-01-30,206,63,143
2020-01-31,213,66,147
2020-02-01,193,61,132
2020-02-02,219,72,147
2020-02-03,231,82,149
2020-02-04,188,76,112
2020-02-05,182,70,112
2020-02-06,189,64,125
2020-02-07,197,66,131
2020-02-08,180,61,119
2020-02-09,187,74,113
2020-02-10,203,68,135
2020-02-11,170,68,102
2020-02-12,178,68,110
2020-02-13,177,68,109
2020-02-14,169,63,106
2020-02-15,188,57,131
2020-02-16,165,66,99
2020-02-17,169,63,106
2020-02-18,170,70,100
2020-02-19,161,72,89
2020-02-20,161,59,102
2020-02-21,169,64,105
2020-02-22,67,,67
2020-02-23,146,59,87
2020-02-24,158,61,97
2020-02-25,157,66,91
2020-02-26,145,61,84
2020-02-27,141,59,82
2020-02-28,161,61,100
2020-02-29,135,57,78
2020-03-01,139,66,73
2020-03-02,134,63,71
2020-03-03,133,59,74
2020-03-04,69,,69
2020-03-05,63,,63
2020-03-06,86,,86
2020-03-07,67,,67
2020-03-08,124,57,67
2020-03-09,132,63,69
2020-03-10,124,59,65
2020-03-11,131,57,74
2020-03-12,119,61,58
2020-03-13,74,,74
2020-03-14,66,,66
2020-03-15,120,57,63
2020-03-16,120,59,61
2020-03-17,124,57,67
2020-03-18,126,57,69
2020-03-19,63,,63
2020-03-20,78,,78
2020-03-21,120,57,63
2020-03-22,73,,73
2020-03-23,127,57,70
2020-03-24,122,57,65
2020-03-25,123,57,66
2020-03-26,137,63,74
2020-03-27,120,57,63
2020-03-28,67,,67
2020-03-29,66,,66
2020-03-30,61,,61
2020-03-31,63,,63
2020-04-01,57,,57
