日期,全部,pc,移动
2019-12-01,57,,57
2019-12-02,57,,57
2019-12-03,58,,58
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,58,,58
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,58,,58
2019-12-15,57,,57
2019-12-16,57,,57
2019-12-17,57,,57
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,58,,58
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,57,,57
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,57,57,
2020-01-09,58,,58
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,58,,58
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,117,57,60
2020-01-21,216,61,155
2020-01-22,382,63,319
2020-01-23,475,85,390
2020-01-24,389,59,330
2020-01-25,634,70,564
2020-01-26,755,78,677
2020-01-27,592,78,514
2020-01-28,575,72,503
2020-01-29,501,85,416
2020-01-30,442,70,372
2020-01-31,421,72,349
2020-02-01,380,85,295
2020-02-02,396,80,316
2020-02-03,359,78,281
2020-02-04,306,82,224
2020-02-05,313,74,239
2020-02-06,280,68,212
2020-02-07,321,78,243
2020-02-08,278,66,212
2020-02-09,274,63,211
2020-02-10,318,87,231
2020-02-11,270,68,202
2020-02-12,256,63,193
2020-02-13,279,70,209
2020-02-14,258,59,199
2020-02-15,263,63,200
2020-02-16,246,57,189
2020-02-17,240,72,168
2020-02-18,261,68,193
2020-02-19,227,61,166
2020-02-20,271,76,195
2020-02-21,189,,189
2020-02-22,165,,165
2020-02-23,220,59,161
2020-02-24,262,66,196
2020-02-25,229,64,165
2020-02-26,209,66,143
2020-02-27,240,66,174
2020-02-28,215,61,154
2020-02-29,226,64,162
2020-03-01,217,57,160
2020-03-02,204,61,143
2020-03-03,125,,125
2020-03-04,186,63,123
2020-03-05,102,,102
2020-03-06,168,63,105
2020-03-07,157,57,100
2020-03-08,171,61,110
2020-03-09,87,,87
2020-03-10,163,59,104
2020-03-11,184,61,123
2020-03-12,159,59,100
2020-03-13,161,59,102
2020-03-14,148,57,91
2020-03-15,162,57,105
2020-03-16,164,59,105
2020-03-17,176,59,117
2020-03-18,171,63,108
2020-03-19,153,57,96
2020-03-20,169,61,108
2020-03-21,154,61,93
2020-03-22,153,57,96
2020-03-23,171,59,112
2020-03-24,99,,99
2020-03-25,155,59,96
2020-03-26,100,,100
2020-03-27,143,61,82
2020-03-28,160,63,97
2020-03-29,156,57,99
2020-03-30,104,,104
2020-03-31,151,59,92
2020-04-01,141,57,84
