日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,57,,57
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,,,
2020-01-22,65,,65
2020-01-23,70,,70
2020-01-24,60,,60
2020-01-25,74,,74
2020-01-26,79,,79
2020-01-27,61,,61
2020-01-28,126,57,69
2020-01-29,67,,67
2020-01-30,123,57,66
2020-01-31,61,,61
2020-02-01,63,,63
2020-02-02,60,,60
2020-02-03,65,,65
2020-02-04,63,,63
2020-02-05,58,,58
2020-02-06,58,,58
2020-02-07,58,,58
2020-02-08,61,,61
2020-02-09,,,
2020-02-10,57,,57
2020-02-11,58,,58
2020-02-12,63,,63
2020-02-13,122,57,65
2020-02-14,61,,61
2020-02-15,60,,60
2020-02-16,63,,63
2020-02-17,69,,69
2020-02-18,60,,60
2020-02-19,57,,57
2020-02-20,117,57,60
2020-02-21,60,,60
2020-02-22,,,
2020-02-23,60,,60
2020-02-24,,,
2020-02-25,58,,58
2020-02-26,57,,57
2020-02-27,61,,61
2020-02-28,63,,63
2020-02-29,57,,57
2020-03-01,60,,60
2020-03-02,58,,58
2020-03-03,60,,60
2020-03-04,118,57,61
2020-03-05,116,59,57
2020-03-06,66,,66
2020-03-07,57,57,
2020-03-08,61,,61
2020-03-09,57,57,
2020-03-10,,,
2020-03-11,57,,57
2020-03-12,57,,57
2020-03-13,57,,57
2020-03-14,66,,66
2020-03-15,58,,58
2020-03-16,57,,57
2020-03-17,,,
2020-03-18,57,,57
2020-03-19,57,57,
2020-03-20,58,,58
2020-03-21,61,,61
2020-03-22,57,,57
2020-03-23,,,
2020-03-24,,,
2020-03-25,57,,57
2020-03-26,57,,57
2020-03-27,61,,61
2020-03-28,,,
2020-03-29,58,,58
2020-03-30,,,
2020-03-31,57,,57
2020-04-01,,,
