日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,57,,57
2019-12-06,61,,61
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,57,,57
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,115,57,58
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,60,,60
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,57,,57
2020-01-04,58,,58
2020-01-05,,,
2020-01-06,58,,58
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,,,
2020-01-12,63,,63
2020-01-13,57,,57
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,57,
2020-01-20,67,,67
2020-01-21,145,61,84
2020-01-22,311,89,222
2020-01-23,427,83,344
2020-01-24,293,64,229
2020-01-25,422,85,337
2020-01-26,435,91,344
2020-01-27,400,83,317
2020-01-28,366,93,273
2020-01-29,298,74,224
2020-01-30,269,72,197
2020-01-31,273,80,193
2020-02-01,258,82,176
2020-02-02,260,82,178
2020-02-03,296,93,203
2020-02-04,238,80,158
2020-02-05,258,78,180
2020-02-06,279,93,186
2020-02-07,262,83,179
2020-02-08,262,82,180
2020-02-09,245,66,179
2020-02-10,256,85,171
2020-02-11,218,70,148
2020-02-12,241,78,163
2020-02-13,210,76,134
2020-02-14,208,76,132
2020-02-15,212,61,151
2020-02-16,194,68,126
2020-02-17,217,74,143
2020-02-18,172,64,108
2020-02-19,187,61,126
2020-02-20,188,57,131
2020-02-21,176,59,117
2020-02-22,195,64,131
2020-02-23,185,64,121
2020-02-24,215,68,147
2020-02-25,209,70,139
2020-02-26,219,68,151
2020-02-27,193,61,132
2020-02-28,198,64,134
2020-02-29,182,59,123
2020-03-01,191,61,130
2020-03-02,177,72,105
2020-03-03,183,70,113
2020-03-04,163,61,102
2020-03-05,180,68,112
2020-03-06,175,57,118
2020-03-07,152,59,93
2020-03-08,165,59,106
2020-03-09,151,59,92
2020-03-10,165,63,102
2020-03-11,161,66,95
2020-03-12,154,59,95
2020-03-13,158,59,99
2020-03-14,100,,100
2020-03-15,145,61,84
2020-03-16,146,63,83
2020-03-17,137,57,80
2020-03-18,146,57,89
2020-03-19,142,59,83
2020-03-20,137,63,74
2020-03-21,154,63,91
2020-03-22,83,,83
2020-03-23,144,57,87
2020-03-24,74,,74
2020-03-25,146,57,89
2020-03-26,133,57,76
2020-03-27,139,59,80
2020-03-28,130,61,69
2020-03-29,135,57,78
2020-03-30,70,,70
2020-03-31,139,57,82
2020-04-01,133,59,74
