日期,全部,pc,移动
2019-12-01,57,,57
2019-12-02,61,,61
2019-12-03,58,,58
2019-12-04,57,,57
2019-12-05,58,,58
2019-12-06,,,
2019-12-07,58,,58
2019-12-08,58,,58
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,58,,58
2019-12-13,57,,57
2019-12-14,60,,60
2019-12-15,,,
2019-12-16,60,,60
2019-12-17,63,,63
2019-12-18,61,,61
2019-12-19,63,,63
2019-12-20,58,,58
2019-12-21,,,
2019-12-22,61,,61
2019-12-23,57,,57
2019-12-24,,,
2019-12-25,58,,58
2019-12-26,,,
2019-12-27,57,,57
2019-12-28,60,,60
2019-12-29,57,,57
2019-12-30,60,,60
2019-12-31,60,,60
2020-01-01,57,,57
2020-01-02,,,
2020-01-03,,,
2020-01-04,58,,58
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,117,57,60
2020-01-15,,,
2020-01-16,57,,57
2020-01-17,,,
2020-01-18,57,57,
2020-01-19,,,
2020-01-20,65,,65
2020-01-21,198,63,135
2020-01-22,409,82,327
2020-01-23,625,74,551
2020-01-24,393,66,327
2020-01-25,603,74,529
2020-01-26,746,89,657
2020-01-27,561,78,483
2020-01-28,492,101,391
2020-01-29,435,87,348
2020-01-30,370,78,292
2020-01-31,376,78,298
2020-02-01,364,91,273
2020-02-02,333,74,259
2020-02-03,368,97,271
2020-02-04,299,78,221
2020-02-05,342,83,259
2020-02-06,325,83,242
2020-02-07,325,76,249
2020-02-08,330,91,239
2020-02-09,314,83,231
2020-02-10,301,74,227
2020-02-11,325,97,228
2020-02-12,287,76,211
2020-02-13,310,74,236
2020-02-14,252,68,184
2020-02-15,255,68,187
2020-02-16,246,76,170
2020-02-17,238,70,168
2020-02-18,242,68,174
2020-02-19,269,74,195
2020-02-20,265,82,183
2020-02-21,247,85,162
2020-02-22,252,76,176
2020-02-23,265,78,187
2020-02-24,250,74,176
2020-02-25,255,72,183
2020-02-26,266,70,196
2020-02-27,268,78,190
2020-02-28,303,72,231
2020-02-29,253,66,187
2020-03-01,253,66,187
2020-03-02,246,64,182
2020-03-03,233,63,170
2020-03-04,224,63,161
2020-03-05,218,64,154
2020-03-06,216,61,155
2020-03-07,232,70,162
2020-03-08,203,64,139
2020-03-09,214,63,151
2020-03-10,250,61,189
2020-03-11,206,63,143
2020-03-12,180,63,117
2020-03-13,199,61,138
2020-03-14,174,61,113
2020-03-15,172,57,115
2020-03-16,167,63,104
2020-03-17,175,66,109
2020-03-18,173,64,109
2020-03-19,179,57,122
2020-03-20,182,61,121
2020-03-21,177,64,113
2020-03-22,93,,93
2020-03-23,167,57,110
2020-03-24,165,57,108
2020-03-25,157,70,87
2020-03-26,143,57,86
2020-03-27,148,64,84
2020-03-28,145,59,86
2020-03-29,150,59,91
2020-03-30,150,57,93
2020-03-31,96,,96
2020-04-01,130,57,73
