日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,58,,58
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,57,,57
2019-12-16,,,
2019-12-17,57,57,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,57,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,61,,61
2020-01-16,,,
2020-01-17,58,,58
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,,,
2020-01-21,133,59,74
2020-01-22,250,76,174
2020-01-23,300,68,232
2020-01-24,193,59,134
2020-01-25,357,72,285
2020-01-26,390,66,324
2020-01-27,309,64,245
2020-01-28,270,74,196
2020-01-29,264,80,184
2020-01-30,221,70,151
2020-01-31,227,76,151
2020-02-01,228,64,164
2020-02-02,213,66,147
2020-02-03,219,68,151
2020-02-04,203,64,139
2020-02-05,182,63,119
2020-02-06,168,63,105
2020-02-07,219,74,145
2020-02-08,193,59,134
2020-02-09,191,61,130
2020-02-10,202,59,143
2020-02-11,193,61,132
2020-02-12,168,59,109
2020-02-13,121,,121
2020-02-14,173,64,109
2020-02-15,191,66,125
2020-02-16,172,64,108
2020-02-17,174,59,115
2020-02-18,164,64,100
2020-02-19,166,57,109
2020-02-20,131,,131
2020-02-21,169,59,110
2020-02-22,179,57,122
2020-02-23,197,61,136
2020-02-24,189,64,125
2020-02-25,215,64,151
2020-02-26,185,66,119
2020-02-27,197,63,134
2020-02-28,213,66,147
2020-02-29,128,,128
2020-03-01,118,,118
2020-03-02,164,68,96
2020-03-03,171,61,110
2020-03-04,156,59,97
2020-03-05,155,64,91
2020-03-06,166,66,100
2020-03-07,99,,99
2020-03-08,97,,97
2020-03-09,162,57,105
2020-03-10,157,61,96
2020-03-11,152,59,93
2020-03-12,155,66,89
2020-03-13,154,61,93
2020-03-14,141,57,84
2020-03-15,140,57,83
2020-03-16,82,,82
2020-03-17,83,,83
2020-03-18,135,61,74
2020-03-19,148,59,89
2020-03-20,141,59,82
2020-03-21,79,,79
2020-03-22,74,,74
2020-03-23,91,,91
2020-03-24,138,59,79
2020-03-25,71,,71
2020-03-26,73,,73
2020-03-27,82,,82
2020-03-28,76,,76
2020-03-29,73,,73
2020-03-30,73,,73
2020-03-31,82,,82
2020-04-01,70,,70
