日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,,,
2020-01-22,131,57,74
2020-01-23,135,59,76
2020-01-24,65,,65
2020-01-25,70,,70
2020-01-26,143,59,84
2020-01-27,80,,80
2020-01-28,138,59,79
2020-01-29,118,57,61
2020-01-30,131,64,67
2020-01-31,60,,60
2020-02-01,123,57,66
2020-02-02,79,,79
2020-02-03,130,59,71
2020-02-04,128,63,65
2020-02-05,67,,67
2020-02-06,124,61,63
2020-02-07,63,,63
2020-02-08,58,,58
2020-02-09,117,57,60
2020-02-10,60,,60
2020-02-11,116,59,57
2020-02-12,58,,58
2020-02-13,65,,65
2020-02-14,65,,65
2020-02-15,,,
2020-02-16,124,57,67
2020-02-17,122,57,65
2020-02-18,118,57,61
2020-02-19,65,,65
2020-02-20,60,,60
2020-02-21,57,,57
2020-02-22,60,,60
2020-02-23,61,,61
2020-02-24,58,,58
2020-02-25,57,57,
2020-02-26,58,,58
2020-02-27,61,,61
2020-02-28,124,64,60
2020-02-29,120,59,61
2020-03-01,58,,58
2020-03-02,57,,57
2020-03-03,117,59,58
2020-03-04,58,,58
2020-03-05,60,,60
2020-03-06,120,57,63
2020-03-07,60,,60
2020-03-08,,,
2020-03-09,57,,57
2020-03-10,58,,58
2020-03-11,57,,57
2020-03-12,58,,58
2020-03-13,58,,58
2020-03-14,114,57,57
2020-03-15,57,,57
2020-03-16,,,
2020-03-17,,,
2020-03-18,58,,58
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,58,,58
2020-03-23,,,
2020-03-24,57,,57
2020-03-25,57,57,
2020-03-26,58,,58
2020-03-27,57,,57
2020-03-28,,,
2020-03-29,114,57,57
2020-03-30,,,
2020-03-31,60,,60
2020-04-01,58,,58
