日期,全部,pc,移动
2019-12-01,114,57,57
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,57,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,57,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,57,57,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,57,57,
2020-01-03,,,
2020-01-04,58,,58
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,57,
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,57,57,
2020-01-19,,,
2020-01-20,134,64,70
2020-01-21,228,85,143
2020-01-22,271,85,186
2020-01-23,267,83,184
2020-01-24,269,83,186
2020-01-25,289,68,221
2020-01-26,289,74,215
2020-01-27,311,89,222
2020-01-28,346,104,242
2020-01-29,314,112,202
2020-01-30,313,110,203
2020-01-31,301,112,189
2020-02-01,242,80,162
2020-02-02,250,85,165
2020-02-03,283,112,171
2020-02-04,237,102,135
2020-02-05,252,116,136
2020-02-06,246,101,145
2020-02-07,221,106,115
2020-02-08,192,80,112
2020-02-09,172,70,102
2020-02-10,220,116,104
2020-02-11,176,70,106
2020-02-12,192,83,109
2020-02-13,186,82,104
2020-02-14,168,82,86
2020-02-15,160,61,99
2020-02-16,162,66,96
2020-02-17,202,102,100
2020-02-18,163,76,87
2020-02-19,157,74,83
2020-02-20,159,72,87
2020-02-21,158,78,80
2020-02-22,141,63,78
2020-02-23,161,66,95
2020-02-24,160,76,84
2020-02-25,153,74,79
2020-02-26,169,89,80
2020-02-27,155,72,83
2020-02-28,146,68,78
2020-02-29,135,59,76
2020-03-01,154,74,80
2020-03-02,169,78,91
2020-03-03,133,68,65
2020-03-04,164,80,84
2020-03-05,159,80,79
2020-03-06,161,87,74
2020-03-07,141,61,80
2020-03-08,143,63,80
2020-03-09,152,70,82
2020-03-10,174,83,91
2020-03-11,144,66,78
2020-03-12,143,64,79
2020-03-13,133,66,67
2020-03-14,134,61,73
2020-03-15,128,61,67
2020-03-16,148,78,70
2020-03-17,146,64,82
2020-03-18,158,85,73
2020-03-19,149,66,83
2020-03-20,137,66,71
2020-03-21,133,59,74
2020-03-22,73,,73
2020-03-23,140,64,76
2020-03-24,141,63,78
2020-03-25,146,70,76
2020-03-26,135,64,71
2020-03-27,128,59,69
2020-03-28,126,59,67
2020-03-29,124,57,67
2020-03-30,143,74,69
2020-03-31,140,70,70
2020-04-01,156,74,82
