日期,全部,pc,移动
2019-12-01,131,57,74
2019-12-02,127,57,70
2019-12-03,141,61,80
2019-12-04,139,61,78
2019-12-05,76,,76
2019-12-06,79,,79
2019-12-07,80,,80
2019-12-08,79,,79
2019-12-09,76,,76
2019-12-10,124,57,67
2019-12-11,73,,73
2019-12-12,70,,70
2019-12-13,126,57,69
2019-12-14,76,,76
2019-12-15,69,,69
2019-12-16,130,57,73
2019-12-17,66,,66
2019-12-18,71,,71
2019-12-19,136,57,79
2019-12-20,128,59,69
2019-12-21,71,,71
2019-12-22,70,,70
2019-12-23,132,59,73
2019-12-24,139,59,80
2019-12-25,133,57,76
2019-12-26,122,59,63
2019-12-27,70,,70
2019-12-28,69,,69
2019-12-29,126,57,69
2019-12-30,73,,73
2019-12-31,70,,70
2020-01-01,117,57,60
2020-01-02,71,,71
2020-01-03,57,,57
2020-01-04,126,57,69
2020-01-05,67,,67
2020-01-06,122,59,63
2020-01-07,119,59,60
2020-01-08,58,,58
2020-01-09,61,,61
2020-01-10,124,59,65
2020-01-11,73,,73
2020-01-12,73,,73
2020-01-13,126,57,69
2020-01-14,70,,70
2020-01-15,65,,65
2020-01-16,58,,58
2020-01-17,124,59,65
2020-01-18,128,59,69
2020-01-19,138,59,79
2020-01-20,253,72,181
2020-01-21,973,162,811
2020-01-22,1730,251,1479
2020-01-23,2132,279,1853
2020-01-24,1161,187,974
2020-01-25,1971,211,1760
2020-01-26,2342,285,2057
2020-01-27,2092,271,1821
2020-01-28,1868,301,1567
2020-01-29,1586,243,1343
2020-01-30,1477,285,1192
2020-01-31,1525,312,1213
2020-02-01,1319,287,1032
2020-02-02,1240,242,998
2020-02-03,1300,309,991
2020-02-04,1240,278,962
2020-02-05,1209,265,944
2020-02-06,1187,240,947
2020-02-07,1211,279,932
2020-02-08,1127,211,916
2020-02-09,1150,231,919
2020-02-10,1170,265,905
2020-02-11,1111,229,882
2020-02-12,1058,187,871
2020-02-13,1079,225,854
2020-02-14,1058,197,861
2020-02-15,1017,166,851
2020-02-16,905,142,763
2020-02-17,996,219,777
2020-02-18,991,204,787
2020-02-19,942,170,772
2020-02-20,1005,170,835
2020-02-21,999,170,829
2020-02-22,944,150,794
2020-02-23,945,159,786
2020-02-24,1028,186,842
2020-02-25,1054,190,864
2020-02-26,1066,190,876
2020-02-27,1022,169,853
2020-02-28,1034,182,852
2020-02-29,964,146,818
2020-03-01,853,148,705
2020-03-02,868,176,692
2020-03-03,860,158,702
2020-03-04,830,150,680
2020-03-05,727,150,577
2020-03-06,702,144,558
2020-03-07,607,108,499
2020-03-08,541,133,408
2020-03-09,638,146,492
2020-03-10,641,154,487
2020-03-11,574,142,432
2020-03-12,559,133,426
2020-03-13,543,121,422
2020-03-14,512,99,413
2020-03-15,444,104,340
2020-03-16,472,123,349
2020-03-17,492,123,369
2020-03-18,467,121,346
2020-03-19,448,114,334
2020-03-20,410,104,306
2020-03-21,388,74,314
2020-03-22,340,63,277
2020-03-23,407,91,316
2020-03-24,353,78,275
2020-03-25,367,87,280
2020-03-26,385,97,288
2020-03-27,391,106,285
2020-03-28,321,68,253
2020-03-29,379,91,288
2020-03-30,405,110,295
2020-03-31,382,91,291
2020-04-01,407,91,316
