日期,全部,pc,移动
2019-12-01,114,57,57
2019-12-02,57,,57
2019-12-03,114,57,57
2019-12-04,,,
2019-12-05,60,,60
2019-12-06,58,,58
2019-12-07,58,,58
2019-12-08,60,,60
2019-12-09,57,,57
2019-12-10,58,,58
2019-12-11,,,
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,60,,60
2019-12-16,117,57,60
2019-12-17,,,
2019-12-18,58,,58
2019-12-19,63,,63
2019-12-20,57,,57
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,115,57,58
2019-12-24,58,,58
2019-12-25,,,
2019-12-26,,,
2019-12-27,57,,57
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,60,,60
2019-12-31,,,
2020-01-01,,,
2020-01-02,60,,60
2020-01-03,,,
2020-01-04,57,,57
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,60,,60
2020-01-12,,,
2020-01-13,,,
2020-01-14,58,,58
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,117,57,60
2020-01-19,115,57,58
2020-01-20,91,,91
2020-01-21,296,72,224
2020-01-22,698,85,613
2020-01-23,908,82,826
2020-01-24,539,82,457
2020-01-25,892,91,801
2020-01-26,957,99,858
2020-01-27,815,80,735
2020-01-28,793,110,683
2020-01-29,667,95,572
2020-01-30,528,85,443
2020-01-31,556,104,452
2020-02-01,539,99,440
2020-02-02,433,78,355
2020-02-03,450,106,344
2020-02-04,468,91,377
2020-02-05,416,85,331
2020-02-06,417,83,334
2020-02-07,413,83,330
2020-02-08,414,74,340
2020-02-09,355,82,273
2020-02-10,370,68,302
2020-02-11,355,82,273
2020-02-12,323,66,257
2020-02-13,346,82,264
2020-02-14,341,74,267
2020-02-15,291,70,221
2020-02-16,285,68,217
2020-02-17,286,68,218
2020-02-18,295,76,219
2020-02-19,268,63,205
2020-02-20,294,63,231
2020-02-21,289,68,221
2020-02-22,269,66,203
2020-02-23,285,76,209
2020-02-24,292,74,218
2020-02-25,305,70,235
2020-02-26,318,70,248
2020-02-27,303,64,239
2020-02-28,311,76,235
2020-02-29,286,68,218
2020-03-01,247,66,181
2020-03-02,269,76,193
2020-03-03,256,64,192
2020-03-04,250,63,187
2020-03-05,250,70,180
2020-03-06,243,64,179
2020-03-07,231,61,170
2020-03-08,220,72,148
2020-03-09,235,72,163
2020-03-10,202,63,139
2020-03-11,222,68,154
2020-03-12,220,63,157
2020-03-13,213,61,152
2020-03-14,207,59,148
2020-03-15,200,57,143
2020-03-16,186,63,123
2020-03-17,208,61,147
2020-03-18,178,59,119
2020-03-19,178,61,117
2020-03-20,183,61,122
2020-03-21,126,,126
2020-03-22,188,57,131
2020-03-23,198,57,141
2020-03-24,178,61,117
2020-03-25,178,57,121
2020-03-26,165,59,106
2020-03-27,195,76,119
2020-03-28,152,57,95
2020-03-29,157,64,93
2020-03-30,173,61,112
2020-03-31,160,61,99
2020-04-01,191,63,128
