日期,全部,pc,移动
2019-12-01,,,
2019-12-02,58,,58
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,57,,57
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,57,,57
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,57,
2019-12-20,57,57,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,58,,58
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,57,,57
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,114,57,57
2020-01-21,144,61,83
2020-01-22,227,66,161
2020-01-23,271,72,199
2020-01-24,181,64,117
2020-01-25,280,76,204
2020-01-26,306,72,234
2020-01-27,329,87,242
2020-01-28,265,76,189
2020-01-29,216,61,155
2020-01-30,232,78,154
2020-01-31,224,70,154
2020-02-01,219,76,143
2020-02-02,235,68,167
2020-02-03,218,74,144
2020-02-04,217,76,141
2020-02-05,174,61,113
2020-02-06,200,68,132
2020-02-07,196,61,135
2020-02-08,183,61,122
2020-02-09,172,76,96
2020-02-10,182,64,118
2020-02-11,157,61,96
2020-02-12,156,61,95
2020-02-13,176,61,115
2020-02-14,158,63,95
2020-02-15,172,66,106
2020-02-16,151,59,92
2020-02-17,164,59,105
2020-02-18,164,64,100
2020-02-19,158,61,97
2020-02-20,166,61,105
2020-02-21,156,57,99
2020-02-22,153,57,96
2020-02-23,158,59,99
2020-02-24,180,63,117
2020-02-25,167,63,104
2020-02-26,171,59,112
2020-02-27,169,61,108
2020-02-28,152,61,91
2020-02-29,167,61,106
2020-03-01,148,61,87
2020-03-02,163,68,95
2020-03-03,172,70,102
2020-03-04,137,57,80
2020-03-05,95,,95
2020-03-06,139,59,80
2020-03-07,152,61,91
2020-03-08,144,68,76
2020-03-09,149,57,92
2020-03-10,141,63,78
2020-03-11,144,64,80
2020-03-12,137,61,76
2020-03-13,140,57,83
2020-03-14,122,57,65
2020-03-15,130,61,69
2020-03-16,137,63,74
2020-03-17,129,59,70
2020-03-18,133,57,76
2020-03-19,138,64,74
2020-03-20,133,59,74
2020-03-21,135,57,78
2020-03-22,61,,61
2020-03-23,67,,67
2020-03-24,66,,66
2020-03-25,63,,63
2020-03-26,71,,71
2020-03-27,73,,73
2020-03-28,58,,58
2020-03-29,126,57,69
2020-03-30,127,61,66
2020-03-31,132,59,73
2020-04-01,71,,71
