日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,,,
2019-12-05,58,,58
2019-12-06,,,
2019-12-07,,,
2019-12-08,57,,57
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,63,,63
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,57,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,57,57,
2020-01-14,,,
2020-01-15,58,,58
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,115,57,58
2020-01-21,163,63,100
2020-01-22,251,78,173
2020-01-23,288,83,205
2020-01-24,234,66,168
2020-01-25,269,63,206
2020-01-26,352,74,278
2020-01-27,370,76,294
2020-01-28,330,83,247
2020-01-29,364,101,263
2020-01-30,377,108,269
2020-01-31,302,91,211
2020-02-01,282,68,214
2020-02-02,271,74,197
2020-02-03,272,83,189
2020-02-04,258,85,173
2020-02-05,252,74,178
2020-02-06,244,78,166
2020-02-07,271,101,170
2020-02-08,252,78,174
2020-02-09,220,82,138
2020-02-10,219,74,145
2020-02-11,200,72,128
2020-02-12,209,66,143
2020-02-13,189,66,123
2020-02-14,190,68,122
2020-02-15,196,66,130
2020-02-16,169,74,95
2020-02-17,197,82,115
2020-02-18,183,74,109
2020-02-19,187,68,119
2020-02-20,182,63,119
2020-02-21,179,70,109
2020-02-22,166,61,105
2020-02-23,168,59,109
2020-02-24,203,72,131
2020-02-25,205,66,139
2020-02-26,189,63,126
2020-02-27,197,76,121
2020-02-28,188,66,122
2020-02-29,218,63,155
2020-03-01,184,66,118
2020-03-02,167,63,104
2020-03-03,192,70,122
2020-03-04,183,66,117
2020-03-05,157,68,89
2020-03-06,170,66,104
2020-03-07,146,63,83
2020-03-08,157,66,91
2020-03-09,165,61,104
2020-03-10,174,64,110
2020-03-11,162,66,96
2020-03-12,167,61,106
2020-03-13,150,70,80
2020-03-14,161,57,104
2020-03-15,145,59,86
2020-03-16,137,59,78
2020-03-17,167,70,97
2020-03-18,131,57,74
2020-03-19,80,,80
2020-03-20,141,63,78
2020-03-21,80,,80
2020-03-22,136,57,79
2020-03-23,133,57,76
2020-03-24,131,61,70
2020-03-25,135,57,78
2020-03-26,133,63,70
2020-03-27,137,61,76
2020-03-28,128,57,71
2020-03-29,135,59,76
2020-03-30,136,63,73
2020-03-31,136,63,73
2020-04-01,140,57,83
