日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,58,,58
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,58,,58
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,57,,57
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,152,59,93
2020-01-22,211,64,147
2020-01-23,236,74,162
2020-01-24,200,64,136
2020-01-25,265,63,202
2020-01-26,266,68,198
2020-01-27,244,66,178
2020-01-28,226,66,160
2020-01-29,189,66,123
2020-01-30,207,68,139
2020-01-31,225,70,155
2020-02-01,173,64,109
2020-02-02,220,61,159
2020-02-03,197,72,125
2020-02-04,190,68,122
2020-02-05,175,70,105
2020-02-06,200,66,134
2020-02-07,168,64,104
2020-02-08,158,63,95
2020-02-09,160,63,97
2020-02-10,154,59,95
2020-02-11,166,64,102
2020-02-12,150,59,91
2020-02-13,147,63,84
2020-02-14,146,59,87
2020-02-15,153,61,92
2020-02-16,137,59,78
2020-02-17,163,70,93
2020-02-18,157,68,89
2020-02-19,176,61,115
2020-02-20,183,61,122
2020-02-21,163,57,106
2020-02-22,170,70,100
2020-02-23,155,63,92
2020-02-24,154,61,93
2020-02-25,150,64,86
2020-02-26,165,61,104
2020-02-27,123,,123
2020-02-28,157,61,96
2020-02-29,159,57,102
2020-03-01,159,64,95
2020-03-02,152,66,86
2020-03-03,149,57,92
2020-03-04,146,57,89
2020-03-05,136,57,79
2020-03-06,137,59,78
2020-03-07,76,,76
2020-03-08,128,57,71
2020-03-09,65,,65
2020-03-10,135,61,74
2020-03-11,139,59,80
2020-03-12,128,59,69
2020-03-13,128,57,71
2020-03-14,130,59,71
2020-03-15,120,57,63
2020-03-16,120,57,63
2020-03-17,125,59,66
2020-03-18,67,,67
2020-03-19,115,57,58
2020-03-20,126,57,69
2020-03-21,66,,66
2020-03-22,66,,66
2020-03-23,128,59,69
2020-03-24,123,57,66
2020-03-25,124,59,65
2020-03-26,66,,66
2020-03-27,122,57,65
2020-03-28,124,57,67
2020-03-29,66,,66
2020-03-30,67,,67
2020-03-31,67,,67
2020-04-01,122,59,63
