日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,60,,60
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,60,,60
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,69,,69
2020-01-22,169,57,112
2020-01-23,203,64,139
2020-01-24,167,63,104
2020-01-25,200,59,141
2020-01-26,216,64,152
2020-01-27,219,72,147
2020-01-28,216,68,148
2020-01-29,179,64,115
2020-01-30,194,64,130
2020-01-31,177,64,113
2020-02-01,165,70,95
2020-02-02,183,64,119
2020-02-03,163,61,102
2020-02-04,167,59,108
2020-02-05,168,63,105
2020-02-06,158,61,97
2020-02-07,166,74,92
2020-02-08,159,63,96
2020-02-09,161,57,104
2020-02-10,150,61,89
2020-02-11,144,57,87
2020-02-12,137,61,76
2020-02-13,128,57,71
2020-02-14,143,61,82
2020-02-15,138,64,74
2020-02-16,66,,66
2020-02-17,126,59,67
2020-02-18,140,57,83
2020-02-19,124,61,63
2020-02-20,74,,74
2020-02-21,123,57,66
2020-02-22,130,57,73
2020-02-23,127,57,70
2020-02-24,73,,73
2020-02-25,135,57,78
2020-02-26,133,57,76
2020-02-27,139,57,82
2020-02-28,71,,71
2020-02-29,131,57,74
2020-03-01,133,59,74
2020-03-02,74,,74
2020-03-03,138,59,79
2020-03-04,80,,80
2020-03-05,70,,70
2020-03-06,69,,69
2020-03-07,136,63,73
2020-03-08,126,57,69
2020-03-09,65,,65
2020-03-10,127,61,66
2020-03-11,120,59,61
2020-03-12,60,,60
2020-03-13,117,57,60
2020-03-14,67,,67
2020-03-15,117,57,60
2020-03-16,120,57,63
2020-03-17,61,,61
2020-03-18,120,57,63
2020-03-19,57,,57
2020-03-20,58,,58
2020-03-21,115,57,58
2020-03-22,57,57,
2020-03-23,118,57,61
2020-03-24,,,
2020-03-25,61,,61
2020-03-26,61,,61
2020-03-27,60,,60
2020-03-28,118,57,61
2020-03-29,120,59,61
2020-03-30,118,57,61
2020-03-31,60,,60
2020-04-01,57,,57
