日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,123,57,66
2020-01-22,173,63,110
2020-01-23,195,59,136
2020-01-24,80,,80
2020-01-25,172,59,113
2020-01-26,213,64,149
2020-01-27,197,59,138
2020-01-28,180,63,117
2020-01-29,161,61,100
2020-01-30,161,61,100
2020-01-31,165,61,104
2020-02-01,157,61,96
2020-02-02,155,63,92
2020-02-03,140,57,83
2020-02-04,145,66,79
2020-02-05,132,59,73
2020-02-06,156,63,93
2020-02-07,137,59,78
2020-02-08,136,57,79
2020-02-09,146,59,87
2020-02-10,155,64,91
2020-02-11,133,59,74
2020-02-12,146,63,83
2020-02-13,82,,82
2020-02-14,71,,71
2020-02-15,131,57,74
2020-02-16,86,,86
2020-02-17,126,61,65
2020-02-18,143,57,86
2020-02-19,65,,65
2020-02-20,134,61,73
2020-02-21,139,57,82
2020-02-22,135,57,78
2020-02-23,73,,73
2020-02-24,155,63,92
2020-02-25,139,59,80
2020-02-26,138,59,79
2020-02-27,141,61,80
2020-02-28,127,57,70
2020-02-29,140,57,83
2020-03-01,74,,74
2020-03-02,127,57,70
2020-03-03,131,61,70
2020-03-04,74,,74
2020-03-05,127,57,70
2020-03-06,129,64,65
2020-03-07,61,,61
2020-03-08,58,,58
2020-03-09,67,,67
2020-03-10,74,,74
2020-03-11,66,,66
2020-03-12,116,59,57
2020-03-13,126,59,67
2020-03-14,65,,65
2020-03-15,115,57,58
2020-03-16,61,,61
2020-03-17,65,,65
2020-03-18,128,61,67
2020-03-19,60,,60
2020-03-20,117,59,58
2020-03-21,58,,58
2020-03-22,61,,61
2020-03-23,58,,58
2020-03-24,57,,57
2020-03-25,126,59,67
2020-03-26,60,,60
2020-03-27,,,
2020-03-28,58,,58
2020-03-29,57,,57
2020-03-30,57,,57
2020-03-31,118,57,61
2020-04-01,,,
