日期,全部,pc,移动
2019-12-01,70,,70
2019-12-02,120,57,63
2019-12-03,132,59,73
2019-12-04,122,61,61
2019-12-05,63,,63
2019-12-06,67,,67
2019-12-07,70,,70
2019-12-08,65,,65
2019-12-09,67,,67
2019-12-10,61,,61
2019-12-11,71,,71
2019-12-12,63,,63
2019-12-13,124,57,67
2019-12-14,70,,70
2019-12-15,58,,58
2019-12-16,61,,61
2019-12-17,65,,65
2019-12-18,67,,67
2019-12-19,61,,61
2019-12-20,120,57,63
2019-12-21,58,,58
2019-12-22,65,,65
2019-12-23,120,57,63
2019-12-24,133,59,74
2019-12-25,124,57,67
2019-12-26,59,59,
2019-12-27,60,,60
2019-12-28,63,,63
2019-12-29,63,,63
2019-12-30,63,,63
2019-12-31,65,,65
2020-01-01,57,57,
2020-01-02,63,,63
2020-01-03,,,
2020-01-04,120,57,63
2020-01-05,63,,63
2020-01-06,117,59,58
2020-01-07,59,59,
2020-01-08,57,,57
2020-01-09,60,,60
2020-01-10,120,59,61
2020-01-11,63,,63
2020-01-12,66,,66
2020-01-13,63,,63
2020-01-14,65,,65
2020-01-15,58,,58
2020-01-16,58,,58
2020-01-17,120,59,61
2020-01-18,118,57,61
2020-01-19,130,57,73
2020-01-20,203,68,135
2020-01-21,615,121,494
2020-01-22,1118,172,946
2020-01-23,1174,176,998
2020-01-24,833,114,719
2020-01-25,1090,139,951
2020-01-26,1172,172,1000
2020-01-27,1118,163,955
2020-01-28,1092,179,913
2020-01-29,1022,139,883
2020-01-30,1020,154,866
2020-01-31,1068,190,878
2020-02-01,1007,177,830
2020-02-02,964,166,798
2020-02-03,1037,193,844
2020-02-04,914,176,738
2020-02-05,922,191,731
2020-02-06,874,165,709
2020-02-07,820,168,652
2020-02-08,760,154,606
2020-02-09,851,154,697
2020-02-10,815,209,606
2020-02-11,744,173,571
2020-02-12,686,142,544
2020-02-13,653,175,478
2020-02-14,676,155,521
2020-02-15,625,112,513
2020-02-16,532,95,437
2020-02-17,600,154,446
2020-02-18,560,140,420
2020-02-19,540,127,413
2020-02-20,563,137,426
2020-02-21,579,125,454
2020-02-22,536,102,434
2020-02-23,553,116,437
2020-02-24,564,139,425
2020-02-25,667,135,532
2020-02-26,715,152,563
2020-02-27,568,118,450
2020-02-28,650,133,517
2020-02-29,490,106,384
2020-03-01,486,99,387
2020-03-02,506,116,390
2020-03-03,459,93,366
2020-03-04,480,121,359
2020-03-05,423,99,324
2020-03-06,404,102,302
2020-03-07,353,80,273
2020-03-08,304,80,224
2020-03-09,381,118,263
2020-03-10,390,106,284
2020-03-11,315,87,228
2020-03-12,336,104,232
2020-03-13,329,87,242
2020-03-14,307,80,227
2020-03-15,274,87,187
2020-03-16,312,95,217
2020-03-17,299,93,206
2020-03-18,310,102,208
2020-03-19,302,91,211
2020-03-20,261,82,179
2020-03-21,250,68,182
2020-03-22,216,57,159
2020-03-23,260,78,182
2020-03-24,236,63,173
2020-03-25,243,76,167
2020-03-26,264,82,182
2020-03-27,254,78,176
2020-03-28,227,61,166
2020-03-29,248,70,178
2020-03-30,277,87,190
2020-03-31,249,70,179
2020-04-01,259,76,183
