日期,全部,pc,移动
2019-12-01,184,63,121
2019-12-02,163,59,104
2019-12-03,181,64,117
2019-12-04,195,70,125
2019-12-05,174,61,113
2019-12-06,159,66,93
2019-12-07,174,61,113
2019-12-08,175,57,118
2019-12-09,184,61,123
2019-12-10,219,70,149
2019-12-11,250,80,170
2019-12-12,209,64,145
2019-12-13,192,61,131
2019-12-14,139,,139
2019-12-15,197,61,136
2019-12-16,186,68,118
2019-12-17,194,66,128
2019-12-18,202,76,126
2019-12-19,163,63,100
2019-12-20,170,61,109
2019-12-21,185,63,122
2019-12-22,196,61,135
2019-12-23,179,66,113
2019-12-24,184,63,121
2019-12-25,180,61,119
2019-12-26,109,,109
2019-12-27,159,59,100
2019-12-28,148,57,91
2019-12-29,172,57,115
2019-12-30,176,68,108
2019-12-31,219,80,139
2020-01-01,135,,135
2020-01-02,183,74,109
2020-01-03,163,61,102
2020-01-04,150,59,91
2020-01-05,163,57,106
2020-01-06,163,64,99
2020-01-07,143,59,84
2020-01-08,146,66,80
2020-01-09,172,59,113
2020-01-10,141,61,80
2020-01-11,163,61,102
2020-01-12,143,57,86
2020-01-13,161,59,102
2020-01-14,166,64,102
2020-01-15,150,66,84
2020-01-16,133,63,70
2020-01-17,148,57,91
2020-01-18,174,61,113
2020-01-19,216,68,148
2020-01-20,988,268,720
2020-01-21,4268,860,3408
2020-01-22,8118,919,7199
2020-01-23,10629,897,9732
2020-01-24,6201,620,5581
2020-01-25,8449,791,7658
2020-01-26,8121,847,7274
2020-01-27,7160,785,6375
2020-01-28,6811,856,5955
2020-01-29,5941,828,5113
2020-01-30,5630,777,4853
2020-01-31,5764,881,4883
2020-02-01,5161,856,4305
2020-02-02,4906,808,4098
2020-02-03,4549,874,3675
2020-02-04,4382,869,3513
2020-02-05,4509,876,3633
2020-02-06,4820,901,3919
2020-02-07,4579,860,3719
2020-02-08,4165,823,3342
2020-02-09,3645,727,2918
2020-02-10,3768,861,2907
2020-02-11,3356,782,2574
2020-02-12,3226,690,2536
2020-02-13,3303,761,2542
2020-02-14,3230,782,2448
2020-02-15,2638,523,2115
2020-02-16,2358,475,1883
2020-02-17,2679,687,1992
2020-02-18,2656,679,1977
2020-02-19,2537,654,1883
2020-02-20,2533,595,1938
2020-02-21,2529,614,1915
2020-02-22,2319,498,1821
2020-02-23,2292,406,1886
2020-02-24,2638,616,2022
2020-02-25,2602,617,1985
2020-02-26,2638,639,1999
2020-02-27,2541,552,1989
2020-02-28,2513,606,1907
2020-02-29,2200,473,1727
2020-03-01,2019,411,1608
2020-03-02,2081,575,1506
2020-03-03,1777,402,1375
2020-03-04,1718,442,1276
2020-03-05,1652,423,1229
2020-03-06,1621,448,1173
2020-03-07,1278,281,997
2020-03-08,1226,254,972
2020-03-09,1470,475,995
2020-03-10,1417,436,981
2020-03-11,1348,385,963
2020-03-12,1273,333,940
2020-03-13,1229,299,930
2020-03-14,1135,228,907
2020-03-15,1115,218,897
2020-03-16,1163,259,904
2020-03-17,1285,386,899
2020-03-18,1234,347,887
2020-03-19,1135,268,867
2020-03-20,1102,260,842
2020-03-21,861,139,722
2020-03-22,883,72,811
2020-03-23,1047,218,829
2020-03-24,974,194,780
2020-03-25,1047,256,791
2020-03-26,1029,225,804
2020-03-27,959,205,754
2020-03-28,995,154,841
2020-03-29,1019,172,847
2020-03-30,1137,274,863
2020-03-31,1089,226,863
2020-04-01,1118,233,885
