日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,58,,58
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,58,,58
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,118,57,61
2020-01-21,207,63,144
2020-01-22,349,89,260
2020-01-23,376,85,291
2020-01-24,333,78,255
2020-01-25,383,87,296
2020-01-26,361,97,264
2020-01-27,366,95,271
2020-01-28,357,89,268
2020-01-29,317,82,235
2020-01-30,289,85,204
2020-01-31,306,82,224
2020-02-01,257,76,181
2020-02-02,272,91,181
2020-02-03,282,101,181
2020-02-04,232,72,160
2020-02-05,270,93,177
2020-02-06,288,99,189
2020-02-07,273,83,190
2020-02-08,280,85,195
2020-02-09,281,83,198
2020-02-10,247,80,167
2020-02-11,250,80,170
2020-02-12,234,80,154
2020-02-13,224,72,152
2020-02-14,221,82,139
2020-02-15,207,72,135
2020-02-16,204,68,136
2020-02-17,187,70,117
2020-02-18,207,76,131
2020-02-19,210,74,136
2020-02-20,195,72,123
2020-02-21,196,87,109
2020-02-22,181,63,118
2020-02-23,175,66,109
2020-02-24,178,63,115
2020-02-25,161,66,95
2020-02-26,158,59,99
2020-02-27,177,68,109
2020-02-28,180,76,104
2020-02-29,152,59,93
2020-03-01,165,61,104
2020-03-02,160,64,96
2020-03-03,165,63,102
2020-03-04,156,64,92
2020-03-05,156,64,92
2020-03-06,153,64,89
2020-03-07,83,,83
2020-03-08,148,59,89
2020-03-09,155,68,87
2020-03-10,137,59,78
2020-03-11,79,,79
2020-03-12,127,57,70
2020-03-13,134,63,71
2020-03-14,136,57,79
2020-03-15,128,59,69
2020-03-16,127,61,66
2020-03-17,137,64,73
2020-03-18,67,,67
2020-03-19,132,63,69
2020-03-20,69,,69
2020-03-21,61,,61
2020-03-22,120,57,63
2020-03-23,129,59,70
2020-03-24,66,,66
2020-03-25,120,57,63
2020-03-26,123,57,66
2020-03-27,122,57,65
2020-03-28,128,57,71
2020-03-29,65,,65
2020-03-30,131,64,67
2020-03-31,135,59,76
2020-04-01,135,64,71
