日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,58,,58
2019-12-04,,,
2019-12-05,58,,58
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,58,,58
2019-12-13,,,
2019-12-14,,,
2019-12-15,63,,63
2019-12-16,57,,57
2019-12-17,58,,58
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,58,,58
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,58,,58
2020-01-03,58,,58
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,58,,58
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,70,,70
2020-01-21,320,72,248
2020-01-22,653,101,552
2020-01-23,839,112,727
2020-01-24,643,101,542
2020-01-25,916,104,812
2020-01-26,870,125,745
2020-01-27,755,102,653
2020-01-28,670,91,579
2020-01-29,675,114,561
2020-01-30,695,91,604
2020-01-31,658,108,550
2020-02-01,599,112,487
2020-02-02,566,87,479
2020-02-03,468,87,381
2020-02-04,491,93,398
2020-02-05,461,89,372
2020-02-06,491,104,387
2020-02-07,439,91,348
2020-02-08,377,93,284
2020-02-09,357,97,260
2020-02-10,357,87,270
2020-02-11,347,80,267
2020-02-12,361,80,281
2020-02-13,325,68,257
2020-02-14,357,91,266
2020-02-15,269,68,201
2020-02-16,278,80,198
2020-02-17,431,123,308
2020-02-18,269,68,201
2020-02-19,299,70,229
2020-02-20,257,64,193
2020-02-21,307,82,225
2020-02-22,293,76,217
2020-02-23,275,64,211
2020-02-24,318,70,248
2020-02-25,312,78,234
2020-02-26,329,82,247
2020-02-27,359,85,274
2020-02-28,313,72,241
2020-02-29,289,72,217
2020-03-01,269,82,187
2020-03-02,246,72,174
2020-03-03,220,72,148
2020-03-04,214,66,148
2020-03-05,226,74,152
2020-03-06,197,61,136
2020-03-07,181,63,118
2020-03-08,171,63,108
2020-03-09,185,66,119
2020-03-10,183,70,113
2020-03-11,185,63,122
2020-03-12,186,78,108
2020-03-13,165,63,102
2020-03-14,166,57,109
2020-03-15,149,63,86
2020-03-16,152,66,86
2020-03-17,183,61,122
2020-03-18,152,68,84
2020-03-19,182,76,106
2020-03-20,154,59,95
2020-03-21,148,57,91
2020-03-22,143,57,86
2020-03-23,124,59,65
2020-03-24,153,61,92
2020-03-25,140,66,74
2020-03-26,135,59,76
2020-03-27,145,63,82
2020-03-28,76,,76
2020-03-29,136,57,79
2020-03-30,169,57,112
2020-03-31,164,64,100
2020-04-01,169,61,108
