日期,全部,pc,移动
2019-12-01,115,57,58
2019-12-02,57,57,
2019-12-03,57,,57
2019-12-04,115,57,58
2019-12-05,,,
2019-12-06,,,
2019-12-07,61,,61
2019-12-08,57,,57
2019-12-09,58,,58
2019-12-10,61,,61
2019-12-11,57,,57
2019-12-12,,,
2019-12-13,57,,57
2019-12-14,,,
2019-12-15,66,,66
2019-12-16,57,,57
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,63,,63
2019-12-24,60,,60
2019-12-25,58,,58
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,63,,63
2019-12-30,,,
2019-12-31,57,57,
2020-01-01,58,,58
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,,,
2020-01-05,57,,57
2020-01-06,58,,58
2020-01-07,57,,57
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,60,,60
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,57,
2020-01-19,,,
2020-01-20,135,57,78
2020-01-21,312,64,248
2020-01-22,561,83,478
2020-01-23,854,118,736
2020-01-24,556,74,482
2020-01-25,799,83,716
2020-01-26,846,89,757
2020-01-27,741,89,652
2020-01-28,693,97,596
2020-01-29,646,95,551
2020-01-30,593,83,510
2020-01-31,575,89,486
2020-02-01,482,95,387
2020-02-02,458,85,373
2020-02-03,428,102,326
2020-02-04,382,87,295
2020-02-05,431,80,351
2020-02-06,448,85,363
2020-02-07,405,99,306
2020-02-08,372,83,289
2020-02-09,325,83,242
2020-02-10,350,66,284
2020-02-11,314,76,238
2020-02-12,348,78,270
2020-02-13,313,68,245
2020-02-14,338,82,256
2020-02-15,312,74,238
2020-02-16,298,76,222
2020-02-17,276,76,200
2020-02-18,275,72,203
2020-02-19,259,66,193
2020-02-20,278,82,196
2020-02-21,265,66,199
2020-02-22,245,68,177
2020-02-23,279,64,215
2020-02-24,273,76,197
2020-02-25,261,63,198
2020-02-26,268,78,190
2020-02-27,276,78,198
2020-02-28,283,68,215
2020-02-29,231,72,159
2020-03-01,237,63,174
2020-03-02,215,66,149
2020-03-03,226,61,165
2020-03-04,227,76,151
2020-03-05,212,64,148
2020-03-06,214,63,151
2020-03-07,186,61,125
2020-03-08,122,,122
2020-03-09,183,74,109
2020-03-10,207,66,141
2020-03-11,205,64,141
2020-03-12,174,57,117
2020-03-13,197,63,134
2020-03-14,165,57,108
2020-03-15,168,59,109
2020-03-16,167,59,108
2020-03-17,166,64,102
2020-03-18,165,63,102
2020-03-19,159,63,96
2020-03-20,167,59,108
2020-03-21,137,57,80
2020-03-22,82,,82
2020-03-23,144,57,87
2020-03-24,84,,84
2020-03-25,150,61,89
2020-03-26,153,61,92
2020-03-27,95,,95
2020-03-28,160,63,97
2020-03-29,166,57,109
2020-03-30,178,61,117
2020-03-31,95,,95
2020-04-01,175,57,118
