日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,60,,60
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,,57
2020-01-19,,,
2020-01-20,114,57,57
2020-01-21,169,64,105
2020-01-22,244,74,170
2020-01-23,270,72,198
2020-01-24,231,72,159
2020-01-25,297,83,214
2020-01-26,296,64,232
2020-01-27,315,70,245
2020-01-28,309,74,235
2020-01-29,323,85,238
2020-01-30,287,66,221
2020-01-31,296,72,224
2020-02-01,267,68,199
2020-02-02,272,72,200
2020-02-03,276,78,198
2020-02-04,258,80,178
2020-02-05,263,93,170
2020-02-06,264,78,186
2020-02-07,249,66,183
2020-02-08,213,61,152
2020-02-09,235,70,165
2020-02-10,233,70,163
2020-02-11,232,70,162
2020-02-12,226,68,158
2020-02-13,201,66,135
2020-02-14,223,61,162
2020-02-15,196,61,135
2020-02-16,210,78,132
2020-02-17,173,64,109
2020-02-18,199,68,131
2020-02-19,184,61,123
2020-02-20,154,59,95
2020-02-21,176,63,113
2020-02-22,164,59,105
2020-02-23,179,57,122
2020-02-24,203,64,139
2020-02-25,191,63,128
2020-02-26,199,68,131
2020-02-27,190,59,131
2020-02-28,182,63,119
2020-02-29,176,66,110
2020-03-01,166,61,105
2020-03-02,159,66,93
2020-03-03,146,59,87
2020-03-04,97,,97
2020-03-05,137,57,80
2020-03-06,153,70,83
2020-03-07,152,63,89
2020-03-08,135,64,71
2020-03-09,144,57,87
2020-03-10,135,68,67
2020-03-11,129,64,65
2020-03-12,145,66,79
2020-03-13,141,63,78
2020-03-14,143,64,79
2020-03-15,73,,73
2020-03-16,139,59,80
2020-03-17,148,70,78
2020-03-18,122,59,63
2020-03-19,67,,67
2020-03-20,127,57,70
2020-03-21,63,,63
2020-03-22,127,57,70
2020-03-23,123,57,66
2020-03-24,122,59,63
2020-03-25,70,,70
2020-03-26,117,59,58
2020-03-27,67,,67
2020-03-28,127,57,70
2020-03-29,65,,65
2020-03-30,120,57,63
2020-03-31,139,59,80
2020-04-01,128,59,69
