日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,57,57,
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,57,57,
2019-12-08,,,
2019-12-09,,,
2019-12-10,115,57,58
2019-12-11,57,57,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,57,,57
2019-12-16,57,57,
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,57,57,
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,58,,58
2020-01-18,,,
2020-01-19,,,
2020-01-20,126,61,65
2020-01-21,235,76,159
2020-01-22,378,101,277
2020-01-23,491,118,373
2020-01-24,353,91,262
2020-01-25,395,87,308
2020-01-26,447,101,346
2020-01-27,373,85,288
2020-01-28,385,93,292
2020-01-29,358,102,256
2020-01-30,332,91,241
2020-01-31,399,125,274
2020-02-01,318,104,214
2020-02-02,318,89,229
2020-02-03,287,87,200
2020-02-04,288,89,199
2020-02-05,283,99,184
2020-02-06,280,95,185
2020-02-07,289,91,198
2020-02-08,280,87,193
2020-02-09,300,97,203
2020-02-10,261,82,179
2020-02-11,280,93,187
2020-02-12,250,80,170
2020-02-13,245,78,167
2020-02-14,253,93,160
2020-02-15,237,82,155
2020-02-16,204,63,141
2020-02-17,190,64,126
2020-02-18,227,83,144
2020-02-19,228,85,143
2020-02-20,212,80,132
2020-02-21,195,74,121
2020-02-22,202,76,126
2020-02-23,212,64,148
2020-02-24,189,66,123
2020-02-25,206,72,134
2020-02-26,221,83,138
2020-02-27,215,68,147
2020-02-28,203,78,125
2020-02-29,208,74,134
2020-03-01,181,72,109
2020-03-02,161,61,100
2020-03-03,165,59,106
2020-03-04,163,68,95
2020-03-05,165,66,99
2020-03-06,167,59,108
2020-03-07,163,59,104
2020-03-08,169,59,110
2020-03-09,160,61,99
2020-03-10,160,61,99
2020-03-11,154,72,82
2020-03-12,150,64,86
2020-03-13,139,59,80
2020-03-14,140,61,79
2020-03-15,139,63,76
2020-03-16,150,64,86
2020-03-17,142,63,79
2020-03-18,150,70,80
2020-03-19,136,57,79
2020-03-20,135,59,76
2020-03-21,130,61,69
2020-03-22,131,57,74
2020-03-23,135,61,74
2020-03-24,131,61,70
2020-03-25,130,59,71
2020-03-26,122,59,63
2020-03-27,129,64,65
2020-03-28,131,57,74
2020-03-29,137,59,78
2020-03-30,147,63,84
2020-03-31,140,64,76
2020-04-01,148,57,91
