日期,全部,pc,移动
2019-12-01,155,59,96
2019-12-02,144,57,87
2019-12-03,151,64,87
2019-12-04,168,66,102
2019-12-05,158,59,99
2019-12-06,148,66,82
2019-12-07,154,59,95
2019-12-08,86,,86
2019-12-09,163,61,102
2019-12-10,180,68,112
2019-12-11,225,74,151
2019-12-12,174,64,110
2019-12-13,178,61,117
2019-12-14,117,,117
2019-12-15,156,61,95
2019-12-16,159,66,93
2019-12-17,174,64,110
2019-12-18,165,68,97
2019-12-19,145,61,84
2019-12-20,150,59,91
2019-12-21,158,63,95
2019-12-22,163,59,104
2019-12-23,149,66,83
2019-12-24,156,63,93
2019-12-25,148,61,87
2019-12-26,73,,73
2019-12-27,137,57,80
2019-12-28,135,57,78
2019-12-29,146,57,89
2019-12-30,158,66,92
2019-12-31,193,74,119
2020-01-01,104,,104
2020-01-02,161,74,87
2020-01-03,145,59,86
2020-01-04,139,59,80
2020-01-05,91,,91
2020-01-06,149,63,86
2020-01-07,129,59,70
2020-01-08,139,66,73
2020-01-09,91,,91
2020-01-10,131,61,70
2020-01-11,147,61,86
2020-01-12,131,57,74
2020-01-13,142,59,83
2020-01-14,155,64,91
2020-01-15,144,66,78
2020-01-16,118,61,57
2020-01-17,70,,70
2020-01-18,153,57,96
2020-01-19,196,64,132
2020-01-20,782,240,542
2020-01-21,3050,765,2285
2020-01-22,5287,754,4533
2020-01-23,6550,597,5953
2020-01-24,3564,332,3232
2020-01-25,4358,371,3987
2020-01-26,4141,416,3725
2020-01-27,3657,388,3269
2020-01-28,3429,473,2956
2020-01-29,2919,385,2534
2020-01-30,2800,425,2375
2020-01-31,3064,586,2478
2020-02-01,2737,512,2225
2020-02-02,2632,487,2145
2020-02-03,2567,617,1950
2020-02-04,2514,619,1895
2020-02-05,2629,606,2023
2020-02-06,2821,698,2123
2020-02-07,2691,613,2078
2020-02-08,2429,513,1916
2020-02-09,2111,467,1644
2020-02-10,2248,614,1634
2020-02-11,1899,492,1407
2020-02-12,1859,471,1388
2020-02-13,1950,504,1446
2020-02-14,1847,521,1326
2020-02-15,1489,336,1153
2020-02-16,1311,296,1015
2020-02-17,1636,467,1169
2020-02-18,1601,462,1139
2020-02-19,1504,451,1053
2020-02-20,1524,395,1129
2020-02-21,1552,443,1109
2020-02-22,1338,326,1012
2020-02-23,1310,274,1036
2020-02-24,1547,431,1116
2020-02-25,1510,439,1071
2020-02-26,1506,400,1106
2020-02-27,1454,361,1093
2020-02-28,1485,409,1076
2020-02-29,1300,316,984
2020-03-01,1231,257,974
2020-03-02,1370,417,953
2020-03-03,1204,273,931
2020-03-04,1231,304,927
2020-03-05,1216,307,909
2020-03-06,1224,324,900
2020-03-07,1064,205,859
2020-03-08,1031,190,841
2020-03-09,1203,338,865
2020-03-10,1193,333,860
2020-03-11,1135,290,845
2020-03-12,1078,248,830
2020-03-13,1009,218,791
2020-03-14,889,194,695
2020-03-15,869,170,699
2020-03-16,925,183,742
2020-03-17,998,279,719
2020-03-18,1025,257,768
2020-03-19,796,183,613
2020-03-20,766,212,554
2020-03-21,611,110,501
2020-03-22,605,61,544
2020-03-23,750,176,574
2020-03-24,672,162,510
2020-03-25,726,191,535
2020-03-26,717,184,533
2020-03-27,660,159,501
2020-03-28,646,114,532
2020-03-29,704,154,550
2020-03-30,803,207,596
2020-03-31,741,177,564
2020-04-01,845,186,659
