日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,57,,57
2019-12-05,57,57,
2019-12-06,,,
2019-12-07,,,
2019-12-08,57,57,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,58,,58
2019-12-18,,,
2019-12-19,57,57,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,57,,57
2020-01-16,,,
2020-01-17,114,57,57
2020-01-18,57,57,
2020-01-19,,,
2020-01-20,124,57,67
2020-01-21,190,64,126
2020-01-22,312,83,229
2020-01-23,361,87,274
2020-01-24,284,70,214
2020-01-25,420,85,335
2020-01-26,460,91,369
2020-01-27,397,87,310
2020-01-28,400,99,301
2020-01-29,354,99,255
2020-01-30,313,78,235
2020-01-31,302,83,219
2020-02-01,277,82,195
2020-02-02,275,83,192
2020-02-03,260,74,186
2020-02-04,258,80,178
2020-02-05,238,83,155
2020-02-06,283,104,179
2020-02-07,276,83,193
2020-02-08,234,76,158
2020-02-09,228,80,148
2020-02-10,237,76,161
2020-02-11,225,64,161
2020-02-12,223,63,160
2020-02-13,213,74,139
2020-02-14,231,63,168
2020-02-15,200,64,136
2020-02-16,212,64,148
2020-02-17,192,66,126
2020-02-18,226,66,160
2020-02-19,204,66,138
2020-02-20,224,70,154
2020-02-21,204,70,134
2020-02-22,237,82,155
2020-02-23,209,66,143
2020-02-24,214,66,148
2020-02-25,214,66,148
2020-02-26,213,85,128
2020-02-27,213,66,147
2020-02-28,197,74,123
2020-02-29,208,63,145
2020-03-01,207,66,141
2020-03-02,201,66,135
2020-03-03,191,82,109
2020-03-04,184,76,108
2020-03-05,166,64,102
2020-03-06,180,68,112
2020-03-07,163,63,100
2020-03-08,106,,106
2020-03-09,163,63,100
2020-03-10,163,66,97
2020-03-11,174,68,106
2020-03-12,168,63,105
2020-03-13,176,61,115
2020-03-14,146,59,87
2020-03-15,143,59,84
2020-03-16,152,63,89
2020-03-17,145,63,82
2020-03-18,140,64,76
2020-03-19,131,57,74
2020-03-20,129,59,70
2020-03-21,117,57,60
2020-03-22,70,,70
2020-03-23,141,59,82
2020-03-24,70,,70
2020-03-25,136,63,73
2020-03-26,146,59,87
2020-03-27,132,59,73
2020-03-28,140,57,83
2020-03-29,151,59,92
2020-03-30,153,64,89
2020-03-31,143,61,82
2020-04-01,147,61,86
