日期,全部,pc,移动
2019-12-01,57,,57
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,57,,57
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,57,,57
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,57,,57
2019-12-25,,,
2019-12-26,,,
2019-12-27,57,,57
2019-12-28,60,,60
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,114,57,57
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,57,,57
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,61,,61
2020-01-21,188,70,118
2020-01-22,287,82,205
2020-01-23,360,87,273
2020-01-24,307,76,231
2020-01-25,344,78,266
2020-01-26,378,78,300
2020-01-27,340,83,257
2020-01-28,323,76,247
2020-01-29,280,78,202
2020-01-30,280,66,214
2020-01-31,301,89,212
2020-02-01,240,76,164
2020-02-02,254,61,193
2020-02-03,222,74,148
2020-02-04,234,64,170
2020-02-05,244,80,164
2020-02-06,274,93,181
2020-02-07,251,78,173
2020-02-08,230,72,158
2020-02-09,231,80,151
2020-02-10,206,76,130
2020-02-11,186,63,123
2020-02-12,205,64,141
2020-02-13,199,74,125
2020-02-14,201,66,135
2020-02-15,198,64,134
2020-02-16,204,66,138
2020-02-17,196,68,128
2020-02-18,191,66,125
2020-02-19,179,61,118
2020-02-20,193,72,121
2020-02-21,204,76,128
2020-02-22,187,59,128
2020-02-23,180,61,119
2020-02-24,180,61,119
2020-02-25,200,66,134
2020-02-26,213,72,141
2020-02-27,186,63,123
2020-02-28,200,72,128
2020-02-29,201,66,135
2020-03-01,161,61,100
2020-03-02,167,59,108
2020-03-03,156,61,95
2020-03-04,144,61,83
2020-03-05,156,64,92
2020-03-06,154,63,91
2020-03-07,89,,89
2020-03-08,139,57,82
2020-03-09,159,59,100
2020-03-10,163,59,104
2020-03-11,148,66,82
2020-03-12,73,,73
2020-03-13,131,61,70
2020-03-14,143,57,86
2020-03-15,131,57,74
2020-03-16,137,59,78
2020-03-17,134,64,70
2020-03-18,123,63,60
2020-03-19,133,59,74
2020-03-20,126,61,65
2020-03-21,129,59,70
2020-03-22,66,,66
2020-03-23,126,59,67
2020-03-24,117,59,58
2020-03-25,122,59,63
2020-03-26,120,59,61
2020-03-27,128,61,67
2020-03-28,130,59,71
2020-03-29,126,63,63
2020-03-30,128,61,67
2020-03-31,129,59,70
2020-04-01,60,,60
