日期,全部,pc,移动
2019-12-01,114,57,57
2019-12-02,60,,60
2019-12-03,65,,65
2019-12-04,57,,57
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,58,,58
2019-12-09,,,
2019-12-10,57,,57
2019-12-11,57,57,
2019-12-12,58,,58
2019-12-13,,,
2019-12-14,58,,58
2019-12-15,60,,60
2019-12-16,58,,58
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,60,,60
2019-12-21,66,,66
2019-12-22,66,,66
2019-12-23,61,,61
2019-12-24,60,,60
2019-12-25,60,,60
2019-12-26,63,,63
2019-12-27,57,,57
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,63,,63
2019-12-31,57,,57
2020-01-01,57,,57
2020-01-02,60,,60
2020-01-03,115,57,58
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,57,
2020-01-07,60,,60
2020-01-08,,,
2020-01-09,60,,60
2020-01-10,,,
2020-01-11,58,,58
2020-01-12,57,,57
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,,57
2020-01-19,58,,58
2020-01-20,154,61,93
2020-01-21,582,102,480
2020-01-22,946,142,804
2020-01-23,989,123,866
2020-01-24,681,99,582
2020-01-25,958,123,835
2020-01-26,966,129,837
2020-01-27,841,106,735
2020-01-28,791,110,681
2020-01-29,736,108,628
2020-01-30,685,101,584
2020-01-31,624,91,533
2020-02-01,621,121,500
2020-02-02,575,85,490
2020-02-03,539,95,444
2020-02-04,516,112,404
2020-02-05,501,125,376
2020-02-06,628,125,503
2020-02-07,562,104,458
2020-02-08,542,116,426
2020-02-09,462,89,373
2020-02-10,481,116,365
2020-02-11,478,133,345
2020-02-12,432,106,326
2020-02-13,457,112,345
2020-02-14,433,102,331
2020-02-15,397,83,314
2020-02-16,370,89,281
2020-02-17,348,87,261
2020-02-18,349,114,235
2020-02-19,320,85,235
2020-02-20,307,87,220
2020-02-21,294,70,224
2020-02-22,334,93,241
2020-02-23,326,80,246
2020-02-24,331,82,249
2020-02-25,329,72,257
2020-02-26,342,89,253
2020-02-27,320,89,231
2020-02-28,297,85,212
2020-02-29,290,76,214
2020-03-01,280,74,206
2020-03-02,304,93,211
2020-03-03,275,76,199
2020-03-04,230,72,158
2020-03-05,241,70,171
2020-03-06,240,74,166
2020-03-07,219,61,158
2020-03-08,219,68,151
2020-03-09,223,82,141
2020-03-10,202,66,136
2020-03-11,196,64,132
2020-03-12,190,68,122
2020-03-13,204,74,130
2020-03-14,174,57,117
2020-03-15,174,59,115
2020-03-16,207,64,143
2020-03-17,198,68,130
2020-03-18,173,68,105
2020-03-19,173,68,105
2020-03-20,152,61,91
2020-03-21,150,59,91
2020-03-22,96,,96
2020-03-23,154,63,91
2020-03-24,178,61,117
2020-03-25,165,72,93
2020-03-26,177,64,113
2020-03-27,160,61,99
2020-03-28,175,63,112
2020-03-29,109,,109
2020-03-30,163,64,99
2020-03-31,175,63,112
2020-04-01,169,61,108
