日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,57,,57
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,59,59,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,57,,57
2019-12-27,57,57,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,60,,60
2020-01-05,,,
2020-01-06,58,,58
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,58,,58
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,57,
2020-01-20,124,63,61
2020-01-21,180,57,123
2020-01-22,294,91,203
2020-01-23,328,72,256
2020-01-24,294,72,222
2020-01-25,375,83,292
2020-01-26,375,87,288
2020-01-27,326,85,241
2020-01-28,353,97,256
2020-01-29,292,91,201
2020-01-30,291,80,211
2020-01-31,295,80,215
2020-02-01,299,87,212
2020-02-02,252,70,182
2020-02-03,236,74,162
2020-02-04,242,68,174
2020-02-05,245,82,163
2020-02-06,236,74,162
2020-02-07,231,72,159
2020-02-08,205,66,139
2020-02-09,198,64,134
2020-02-10,238,78,160
2020-02-11,200,68,132
2020-02-12,229,68,161
2020-02-13,198,72,126
2020-02-14,186,76,110
2020-02-15,178,68,110
2020-02-16,170,57,113
2020-02-17,110,,110
2020-02-18,184,72,112
2020-02-19,153,64,89
2020-02-20,185,68,117
2020-02-21,148,59,89
2020-02-22,156,64,92
2020-02-23,187,66,121
2020-02-24,145,59,86
2020-02-25,161,68,93
2020-02-26,173,63,110
2020-02-27,143,59,84
2020-02-28,141,59,82
2020-02-29,156,61,95
2020-03-01,143,59,84
2020-03-02,145,61,84
2020-03-03,158,63,95
2020-03-04,150,66,84
2020-03-05,150,63,87
2020-03-06,152,57,95
2020-03-07,168,59,109
2020-03-08,78,,78
2020-03-09,134,61,73
2020-03-10,130,63,67
2020-03-11,124,57,67
2020-03-12,73,,73
2020-03-13,128,59,69
2020-03-14,67,,67
2020-03-15,145,63,82
2020-03-16,128,61,67
2020-03-17,139,70,69
2020-03-18,128,61,67
2020-03-19,70,,70
2020-03-20,123,57,66
2020-03-21,66,,66
2020-03-22,61,,61
2020-03-23,117,59,58
2020-03-24,58,,58
2020-03-25,123,57,66
2020-03-26,123,57,66
2020-03-27,124,59,65
2020-03-28,130,63,67
2020-03-29,129,59,70
2020-03-30,128,59,69
2020-03-31,139,61,78
2020-04-01,124,61,63
