日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,57,,57
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,57,,57
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,115,57,58
2020-01-22,140,57,83
2020-01-23,135,57,78
2020-01-24,114,57,57
2020-01-25,80,,80
2020-01-26,137,57,80
2020-01-27,132,59,73
2020-01-28,76,,76
2020-01-29,70,,70
2020-01-30,78,,78
2020-01-31,84,,84
2020-02-01,131,57,74
2020-02-02,128,59,69
2020-02-03,124,57,67
2020-02-04,126,57,69
2020-02-05,125,59,66
2020-02-06,136,57,79
2020-02-07,91,,91
2020-02-08,144,64,80
2020-02-09,124,61,63
2020-02-10,61,,61
2020-02-11,76,,76
2020-02-12,139,61,78
2020-02-13,117,57,60
2020-02-14,61,,61
2020-02-15,123,57,66
2020-02-16,65,,65
2020-02-17,61,,61
2020-02-18,67,,67
2020-02-19,65,,65
2020-02-20,71,,71
2020-02-21,58,,58
2020-02-22,58,,58
2020-02-23,61,,61
2020-02-24,127,57,70
2020-02-25,122,57,65
2020-02-26,61,,61
2020-02-27,67,,67
2020-02-28,66,,66
2020-02-29,58,,58
2020-03-01,61,,61
2020-03-02,63,,63
2020-03-03,66,,66
2020-03-04,69,,69
2020-03-05,66,,66
2020-03-06,128,59,69
2020-03-07,61,,61
2020-03-08,63,,63
2020-03-09,67,,67
2020-03-10,122,59,63
2020-03-11,117,57,60
2020-03-12,117,57,60
2020-03-13,114,57,57
2020-03-14,61,,61
2020-03-15,58,,58
2020-03-16,60,,60
2020-03-17,,,
2020-03-18,115,57,58
2020-03-19,,,
2020-03-20,57,,57
2020-03-21,57,,57
2020-03-22,114,57,57
2020-03-23,115,57,58
2020-03-24,114,57,57
2020-03-25,,,
2020-03-26,58,,58
2020-03-27,,,
2020-03-28,57,,57
2020-03-29,58,,58
2020-03-30,58,,58
2020-03-31,,,
2020-04-01,60,,60
