日期,全部,pc,移动
2019-12-01,73,,73
2019-12-02,132,63,69
2019-12-03,143,61,82
2019-12-04,128,57,71
2019-12-05,142,59,83
2019-12-06,130,63,67
2019-12-07,149,63,86
2019-12-08,157,64,93
2019-12-09,161,57,104
2019-12-10,166,66,100
2019-12-11,140,61,79
2019-12-12,144,64,80
2019-12-13,73,,73
2019-12-14,71,,71
2019-12-15,150,59,91
2019-12-16,84,,84
2019-12-17,141,61,80
2019-12-18,130,59,71
2019-12-19,136,57,79
2019-12-20,122,57,65
2019-12-21,120,57,63
2019-12-22,69,,69
2019-12-23,135,61,74
2019-12-24,138,59,79
2019-12-25,120,57,63
2019-12-26,126,57,69
2019-12-27,70,,70
2019-12-28,127,61,66
2019-12-29,124,64,60
2019-12-30,131,61,70
2019-12-31,136,66,70
2020-01-01,130,57,73
2020-01-02,78,,78
2020-01-03,66,,66
2020-01-04,137,61,76
2020-01-05,70,,70
2020-01-06,70,,70
2020-01-07,126,57,69
2020-01-08,127,57,70
2020-01-09,118,57,61
2020-01-10,115,57,58
2020-01-11,60,,60
2020-01-12,57,,57
2020-01-13,65,,65
2020-01-14,134,61,73
2020-01-15,66,,66
2020-01-16,115,57,58
2020-01-17,123,57,66
2020-01-18,126,57,69
2020-01-19,139,61,78
2020-01-20,308,108,200
2020-01-21,1252,316,936
2020-01-22,1907,405,1502
2020-01-23,2025,395,1630
2020-01-24,1220,239,981
2020-01-25,1485,243,1242
2020-01-26,1420,287,1133
2020-01-27,1434,347,1087
2020-01-28,1333,319,1014
2020-01-29,1271,291,980
2020-01-30,1248,299,949
2020-01-31,1291,326,965
2020-02-01,1266,321,945
2020-02-02,1229,313,916
2020-02-03,1288,366,922
2020-02-04,1286,380,906
2020-02-05,1234,326,908
2020-02-06,1250,321,929
2020-02-07,1281,361,920
2020-02-08,1274,332,942
2020-02-09,1164,271,893
2020-02-10,1205,315,890
2020-02-11,1167,296,871
2020-02-12,1170,301,869
2020-02-13,1151,296,855
2020-02-14,1128,287,841
2020-02-15,1028,248,780
2020-02-16,984,229,755
2020-02-17,1027,276,751
2020-02-18,983,225,758
2020-02-19,962,247,715
2020-02-20,911,194,717
2020-02-21,1020,237,783
2020-02-22,853,191,662
2020-02-23,839,200,639
2020-02-24,899,264,635
2020-02-25,930,240,690
2020-02-26,993,274,719
2020-02-27,893,236,657
2020-02-28,905,239,666
2020-02-29,825,186,639
2020-03-01,735,188,547
2020-03-02,755,205,550
2020-03-03,750,207,543
2020-03-04,744,197,547
2020-03-05,768,219,549
2020-03-06,657,200,457
2020-03-07,556,150,406
2020-03-08,564,150,414
2020-03-09,602,179,423
2020-03-10,627,212,415
2020-03-11,585,195,390
2020-03-12,580,169,411
2020-03-13,556,184,372
2020-03-14,457,133,324
2020-03-15,474,144,330
2020-03-16,518,180,338
2020-03-17,510,163,347
2020-03-18,572,211,361
2020-03-19,475,183,292
2020-03-20,427,142,285
2020-03-21,382,120,262
2020-03-22,339,76,263
2020-03-23,439,176,263
2020-03-24,383,106,277
2020-03-25,427,170,257
2020-03-26,406,144,262
2020-03-27,364,142,222
2020-03-28,380,106,274
2020-03-29,352,99,253
2020-03-30,450,165,285
2020-03-31,358,112,246
2020-04-01,400,148,252
