日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,60,,60
2019-12-04,61,,61
2019-12-05,57,,57
2019-12-06,,,
2019-12-07,,,
2019-12-08,60,,60
2019-12-09,58,,58
2019-12-10,58,,58
2019-12-11,114,57,57
2019-12-12,61,,61
2019-12-13,58,,58
2019-12-14,58,,58
2019-12-15,58,,58
2019-12-16,118,57,61
2019-12-17,58,,58
2019-12-18,,,
2019-12-19,57,57,
2019-12-20,66,,66
2019-12-21,57,,57
2019-12-22,58,,58
2019-12-23,65,,65
2019-12-24,58,,58
2019-12-25,60,,60
2019-12-26,57,57,
2019-12-27,57,,57
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,57,,57
2019-12-31,114,57,57
2020-01-01,57,,57
2020-01-02,114,57,57
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,61,,61
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,,,
2020-01-12,57,,57
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,,,
2020-01-19,60,,60
2020-01-20,125,59,66
2020-01-21,310,74,236
2020-01-22,647,102,545
2020-01-23,809,101,708
2020-01-24,486,78,408
2020-01-25,681,83,598
2020-01-26,736,97,639
2020-01-27,659,95,564
2020-01-28,620,129,491
2020-01-29,568,118,450
2020-01-30,510,104,406
2020-01-31,509,108,401
2020-02-01,440,85,355
2020-02-02,464,101,363
2020-02-03,431,97,334
2020-02-04,374,87,287
2020-02-05,391,74,317
2020-02-06,383,91,292
2020-02-07,365,99,266
2020-02-08,365,99,266
2020-02-09,341,91,250
2020-02-10,357,93,264
2020-02-11,349,104,245
2020-02-12,306,89,217
2020-02-13,297,82,215
2020-02-14,344,83,261
2020-02-15,281,76,205
2020-02-16,289,78,211
2020-02-17,276,83,193
2020-02-18,272,85,187
2020-02-19,272,82,190
2020-02-20,254,72,182
2020-02-21,264,74,190
2020-02-22,268,66,202
2020-02-23,317,78,239
2020-02-24,281,85,196
2020-02-25,340,78,262
2020-02-26,352,97,255
2020-02-27,345,91,254
2020-02-28,316,99,217
2020-02-29,329,66,263
2020-03-01,277,74,203
2020-03-02,301,76,225
2020-03-03,263,70,193
2020-03-04,305,85,220
2020-03-05,267,74,193
2020-03-06,254,70,184
2020-03-07,237,64,173
2020-03-08,217,70,147
2020-03-09,254,74,180
2020-03-10,238,80,158
2020-03-11,229,66,163
2020-03-12,231,68,163
2020-03-13,215,70,145
2020-03-14,209,66,143
2020-03-15,199,63,136
2020-03-16,204,66,138
2020-03-17,195,70,125
2020-03-18,191,68,123
2020-03-19,189,63,126
2020-03-20,185,76,109
2020-03-21,182,61,121
2020-03-22,196,57,139
2020-03-23,197,74,123
2020-03-24,189,61,128
2020-03-25,187,59,128
2020-03-26,188,63,125
2020-03-27,169,57,112
2020-03-28,174,64,110
2020-03-29,130,,130
2020-03-30,188,63,125
2020-03-31,189,61,128
2020-04-01,155,63,92
