日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,57,,57
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,57,,57
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,118,57,61
2020-01-22,165,57,108
2020-01-23,122,,122
2020-01-24,176,59,117
2020-01-25,206,59,147
2020-01-26,218,57,161
2020-01-27,196,64,132
2020-01-28,165,63,102
2020-01-29,105,,105
2020-01-30,167,61,106
2020-01-31,104,,104
2020-02-01,102,,102
2020-02-02,93,,93
2020-02-03,166,57,109
2020-02-04,152,57,95
2020-02-05,143,59,84
2020-02-06,133,57,76
2020-02-07,133,59,74
2020-02-08,79,,79
2020-02-09,73,,73
2020-02-10,135,57,78
2020-02-11,92,,92
2020-02-12,141,57,84
2020-02-13,83,,83
2020-02-14,89,,89
2020-02-15,84,,84
2020-02-16,130,57,73
2020-02-17,74,,74
2020-02-18,136,57,79
2020-02-19,124,57,67
2020-02-20,66,,66
2020-02-21,73,,73
2020-02-22,135,57,78
2020-02-23,86,,86
2020-02-24,83,,83
2020-02-25,87,,87
2020-02-26,148,57,91
2020-02-27,84,,84
2020-02-28,138,64,74
2020-02-29,86,,86
2020-03-01,143,57,86
2020-03-02,80,,80
2020-03-03,74,,74
2020-03-04,143,61,82
2020-03-05,136,57,79
2020-03-06,137,57,80
2020-03-07,71,,71
2020-03-08,130,59,71
2020-03-09,131,57,74
2020-03-10,123,57,66
2020-03-11,67,,67
2020-03-12,135,57,78
2020-03-13,70,,70
2020-03-14,63,,63
2020-03-15,67,,67
2020-03-16,69,,69
2020-03-17,67,,67
2020-03-18,67,,67
2020-03-19,65,,65
2020-03-20,60,,60
2020-03-21,63,,63
2020-03-22,74,,74
2020-03-23,67,,67
2020-03-24,117,57,60
2020-03-25,120,57,63
2020-03-26,60,,60
2020-03-27,66,,66
2020-03-28,57,,57
2020-03-29,63,,63
2020-03-30,57,,57
2020-03-31,67,,67
2020-04-01,61,,61
