日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,57,,57
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,63,,63
2020-01-22,142,63,79
2020-01-23,165,66,99
2020-01-24,154,57,97
2020-01-25,159,59,100
2020-01-26,166,61,105
2020-01-27,87,,87
2020-01-28,144,61,83
2020-01-29,160,64,96
2020-01-30,144,70,74
2020-01-31,143,59,84
2020-02-01,146,57,89
2020-02-02,139,57,82
2020-02-03,134,61,73
2020-02-04,80,,80
2020-02-05,143,57,86
2020-02-06,127,57,70
2020-02-07,133,57,76
2020-02-08,140,66,74
2020-02-09,71,,71
2020-02-10,79,,79
2020-02-11,130,59,71
2020-02-12,124,59,65
2020-02-13,67,,67
2020-02-14,128,59,69
2020-02-15,60,,60
2020-02-16,69,,69
2020-02-17,67,,67
2020-02-18,67,,67
2020-02-19,124,57,67
2020-02-20,60,,60
2020-02-21,126,59,67
2020-02-22,73,,73
2020-02-23,129,59,70
2020-02-24,123,57,66
2020-02-25,123,57,66
2020-02-26,66,,66
2020-02-27,60,,60
2020-02-28,131,57,74
2020-02-29,79,,79
2020-03-01,63,,63
2020-03-02,124,57,67
2020-03-03,118,57,61
2020-03-04,118,57,61
2020-03-05,122,57,65
2020-03-06,60,,60
2020-03-07,124,57,67
2020-03-08,63,,63
2020-03-09,61,,61
2020-03-10,69,,69
2020-03-11,63,,63
2020-03-12,124,57,67
2020-03-13,57,,57
2020-03-14,118,57,61
2020-03-15,57,57,
2020-03-16,66,,66
2020-03-17,114,57,57
2020-03-18,115,57,58
2020-03-19,63,,63
2020-03-20,114,57,57
2020-03-21,126,59,67
2020-03-22,61,,61
2020-03-23,114,57,57
2020-03-24,,,
2020-03-25,61,,61
2020-03-26,58,,58
2020-03-27,63,,63
2020-03-28,60,,60
2020-03-29,61,,61
2020-03-30,60,,60
2020-03-31,58,,58
2020-04-01,,,
