日期,全部,pc,移动
2019-12-01,186,61,125
2019-12-02,169,63,106
2019-12-03,141,61,80
2019-12-04,167,59,108
2019-12-05,149,57,92
2019-12-06,86,,86
2019-12-07,91,,91
2019-12-08,159,57,102
2019-12-09,152,59,93
2019-12-10,96,,96
2019-12-11,155,59,96
2019-12-12,144,57,87
2019-12-13,140,57,83
2019-12-14,87,,87
2019-12-15,89,,89
2019-12-16,154,57,97
2019-12-17,134,63,71
2019-12-18,150,63,87
2019-12-19,143,59,84
2019-12-20,129,59,70
2019-12-21,135,59,76
2019-12-22,154,59,95
2019-12-23,145,59,86
2019-12-24,146,59,87
2019-12-25,135,61,74
2019-12-26,143,59,84
2019-12-27,82,,82
2019-12-28,137,61,76
2019-12-29,87,,87
2019-12-30,155,64,91
2019-12-31,156,59,97
2020-01-01,89,,89
2020-01-02,144,57,87
2020-01-03,135,57,78
2020-01-04,146,63,83
2020-01-05,91,,91
2020-01-06,137,63,74
2020-01-07,80,,80
2020-01-08,143,59,84
2020-01-09,134,61,73
2020-01-10,128,57,71
2020-01-11,140,57,83
2020-01-12,79,,79
2020-01-13,135,59,76
2020-01-14,161,74,87
2020-01-15,133,64,69
2020-01-16,125,59,66
2020-01-17,92,,92
2020-01-18,133,59,74
2020-01-19,149,63,86
2020-01-20,478,131,347
2020-01-21,2122,479,1643
2020-01-22,4289,639,3650
2020-01-23,6283,732,5551
2020-01-24,3356,443,2913
2020-01-25,4577,482,4095
2020-01-26,3938,442,3496
2020-01-27,3491,492,2999
2020-01-28,3168,532,2636
2020-01-29,2685,510,2175
2020-01-30,2543,488,2055
2020-01-31,2560,540,2020
2020-02-01,2409,509,1900
2020-02-02,2499,523,1976
2020-02-03,2670,732,1938
2020-02-04,2473,574,1899
2020-02-05,2418,577,1841
2020-02-06,2366,578,1788
2020-02-07,2415,614,1801
2020-02-08,2216,459,1757
2020-02-09,1962,468,1494
2020-02-10,2037,577,1460
2020-02-11,1840,464,1376
2020-02-12,1774,468,1306
2020-02-13,1745,394,1351
2020-02-14,1767,402,1365
2020-02-15,1377,301,1076
2020-02-16,1236,256,980
2020-02-17,1306,309,997
2020-02-18,1374,408,966
2020-02-19,1339,360,979
2020-02-20,1238,279,959
2020-02-21,1281,302,979
2020-02-22,1192,229,963
2020-02-23,1187,229,958
2020-02-24,1335,366,969
2020-02-25,1370,372,998
2020-02-26,1381,388,993
2020-02-27,1376,414,962
2020-02-28,1361,367,994
2020-02-29,1270,293,977
2020-03-01,1199,259,940
2020-03-02,1292,388,904
2020-03-03,1235,315,920
2020-03-04,1258,355,903
2020-03-05,1212,315,897
2020-03-06,1212,336,876
2020-03-07,1100,239,861
2020-03-08,1051,188,863
2020-03-09,1174,313,861
2020-03-10,1175,318,857
2020-03-11,1106,270,836
2020-03-12,1027,259,768
2020-03-13,1042,273,769
2020-03-14,938,182,756
2020-03-15,923,179,744
2020-03-16,1063,319,744
2020-03-17,1040,302,738
2020-03-18,925,265,660
2020-03-19,825,212,613
2020-03-20,789,204,585
2020-03-21,724,170,554
2020-03-22,685,83,602
2020-03-23,800,202,598
2020-03-24,728,179,549
2020-03-25,828,250,578
2020-03-26,855,197,658
2020-03-27,910,202,708
2020-03-28,834,146,688
2020-03-29,906,152,754
2020-03-30,1116,270,846
2020-03-31,1042,219,823
2020-04-01,1057,213,844
