日期,全部,pc,移动
2019-12-01,61,,61
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,114,57,57
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,58,,58
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,57,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,115,57,58
2020-01-21,185,66,119
2020-01-22,284,80,204
2020-01-23,386,83,303
2020-01-24,266,66,200
2020-01-25,380,78,302
2020-01-26,366,72,294
2020-01-27,294,70,224
2020-01-28,285,80,205
2020-01-29,256,63,193
2020-01-30,238,64,174
2020-01-31,239,74,165
2020-02-01,242,72,170
2020-02-02,249,68,181
2020-02-03,271,78,193
2020-02-04,237,63,174
2020-02-05,248,70,178
2020-02-06,267,78,189
2020-02-07,252,72,180
2020-02-08,233,68,165
2020-02-09,229,72,157
2020-02-10,240,76,164
2020-02-11,211,63,148
2020-02-12,217,74,143
2020-02-13,196,57,139
2020-02-14,221,63,158
2020-02-15,136,,136
2020-02-16,191,63,128
2020-02-17,180,59,121
2020-02-18,199,76,123
2020-02-19,210,66,144
2020-02-20,200,59,141
2020-02-21,193,72,121
2020-02-22,170,61,109
2020-02-23,166,61,105
2020-02-24,200,61,139
2020-02-25,179,61,118
2020-02-26,178,63,115
2020-02-27,185,64,121
2020-02-28,177,72,105
2020-02-29,183,61,122
2020-03-01,172,59,113
2020-03-02,169,61,108
2020-03-03,154,59,95
2020-03-04,160,63,97
2020-03-05,137,59,78
2020-03-06,137,57,80
2020-03-07,143,57,86
2020-03-08,148,57,91
2020-03-09,141,63,78
2020-03-10,148,57,91
2020-03-11,91,,91
2020-03-12,141,63,78
2020-03-13,153,64,89
2020-03-14,84,,84
2020-03-15,147,63,84
2020-03-16,132,63,69
2020-03-17,139,61,78
2020-03-18,156,70,86
2020-03-19,137,61,76
2020-03-20,127,57,70
2020-03-21,142,59,83
2020-03-22,74,,74
2020-03-23,145,59,86
2020-03-24,126,59,67
2020-03-25,135,57,78
2020-03-26,80,,80
2020-03-27,84,,84
2020-03-28,139,57,82
2020-03-29,134,61,73
2020-03-30,143,59,84
2020-03-31,133,57,76
2020-04-01,141,61,80
