日期,全部,pc,移动
2019-12-01,60,,60
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,57,,57
2019-12-05,,,
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,57,,57
2019-12-09,,,
2019-12-10,58,,58
2019-12-11,,,
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,58,,58
2019-12-17,57,57,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,58,,58
2019-12-24,61,,61
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,58,,58
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,57,,57
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,57,,57
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,71,,71
2020-01-21,310,78,232
2020-01-22,576,101,475
2020-01-23,757,76,681
2020-01-24,460,83,377
2020-01-25,625,83,542
2020-01-26,546,78,468
2020-01-27,504,93,411
2020-01-28,456,82,374
2020-01-29,418,99,319
2020-01-30,373,85,288
2020-01-31,376,102,274
2020-02-01,352,82,270
2020-02-02,349,82,267
2020-02-03,400,101,299
2020-02-04,341,99,242
2020-02-05,352,85,267
2020-02-06,389,102,287
2020-02-07,394,102,292
2020-02-08,331,78,253
2020-02-09,326,85,241
2020-02-10,306,91,215
2020-02-11,318,80,238
2020-02-12,276,87,189
2020-02-13,305,76,229
2020-02-14,286,74,212
2020-02-15,259,74,185
2020-02-16,236,63,173
2020-02-17,261,80,181
2020-02-18,282,99,183
2020-02-19,242,66,176
2020-02-20,259,76,183
2020-02-21,260,76,184
2020-02-22,251,72,179
2020-02-23,228,74,154
2020-02-24,234,66,168
2020-02-25,250,76,174
2020-02-26,255,72,183
2020-02-27,231,64,167
2020-02-28,258,78,180
2020-02-29,282,87,195
2020-03-01,219,68,151
2020-03-02,219,76,143
2020-03-03,221,70,151
2020-03-04,225,76,149
2020-03-05,222,70,152
2020-03-06,221,72,149
2020-03-07,179,66,113
2020-03-08,204,68,136
2020-03-09,189,68,121
2020-03-10,199,80,119
2020-03-11,191,66,125
2020-03-12,167,57,110
2020-03-13,172,66,106
2020-03-14,172,64,108
2020-03-15,179,64,115
2020-03-16,175,70,105
2020-03-17,185,72,113
2020-03-18,156,70,86
2020-03-19,162,66,96
2020-03-20,160,61,99
2020-03-21,163,59,104
2020-03-22,152,59,93
2020-03-23,143,64,79
2020-03-24,145,61,84
2020-03-25,154,72,82
2020-03-26,156,64,92
2020-03-27,104,,104
2020-03-28,143,59,84
2020-03-29,174,61,113
2020-03-30,188,66,122
2020-03-31,158,59,99
2020-04-01,167,61,106
