日期,全部,pc,移动
2019-12-01,60,,60
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,,,
2019-12-05,57,,57
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,57,,57
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,114,57,57
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,57,,57
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,57,,57
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,184,61,123
2020-01-22,280,74,206
2020-01-23,332,80,252
2020-01-24,268,70,198
2020-01-25,400,74,326
2020-01-26,404,76,328
2020-01-27,379,78,301
2020-01-28,318,89,229
2020-01-29,284,85,199
2020-01-30,242,64,178
2020-01-31,265,70,195
2020-02-01,233,72,161
2020-02-02,266,74,192
2020-02-03,261,74,187
2020-02-04,222,74,148
2020-02-05,236,74,162
2020-02-06,241,68,173
2020-02-07,234,72,162
2020-02-08,223,72,151
2020-02-09,206,61,145
2020-02-10,212,78,134
2020-02-11,212,61,151
2020-02-12,211,66,145
2020-02-13,207,63,144
2020-02-14,238,61,177
2020-02-15,224,64,160
2020-02-16,176,59,117
2020-02-17,198,57,141
2020-02-18,198,64,134
2020-02-19,201,63,138
2020-02-20,206,61,145
2020-02-21,184,63,121
2020-02-22,211,64,147
2020-02-23,209,61,148
2020-02-24,211,72,139
2020-02-25,230,72,158
2020-02-26,212,64,148
2020-02-27,217,68,149
2020-02-28,236,66,170
2020-02-29,225,61,164
2020-03-01,198,59,139
2020-03-02,176,66,110
2020-03-03,175,63,112
2020-03-04,194,64,130
2020-03-05,176,66,110
2020-03-06,171,61,110
2020-03-07,96,,96
2020-03-08,163,57,106
2020-03-09,170,64,106
2020-03-10,148,64,84
2020-03-11,149,63,86
2020-03-12,138,64,74
2020-03-13,154,61,93
2020-03-14,152,61,91
2020-03-15,146,57,89
2020-03-16,151,64,87
2020-03-17,141,63,78
2020-03-18,134,61,73
2020-03-19,135,59,76
2020-03-20,137,61,76
2020-03-21,128,57,71
2020-03-22,133,57,76
2020-03-23,131,57,74
2020-03-24,131,57,74
2020-03-25,140,66,74
2020-03-26,143,61,82
2020-03-27,78,,78
2020-03-28,147,61,86
2020-03-29,140,57,83
2020-03-30,136,57,79
2020-03-31,137,57,80
2020-04-01,138,59,79
