日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,58,,58
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,57,57,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,57,57,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,159,59,100
2020-01-22,225,70,155
2020-01-23,306,74,232
2020-01-24,206,72,134
2020-01-25,227,63,164
2020-01-26,224,63,161
2020-01-27,237,66,171
2020-01-28,225,74,151
2020-01-29,189,70,119
2020-01-30,189,68,121
2020-01-31,227,72,155
2020-02-01,203,68,135
2020-02-02,194,59,135
2020-02-03,206,78,128
2020-02-04,183,66,117
2020-02-05,206,74,132
2020-02-06,171,61,110
2020-02-07,192,74,118
2020-02-08,207,66,141
2020-02-09,173,61,112
2020-02-10,169,78,91
2020-02-11,147,61,86
2020-02-12,170,61,109
2020-02-13,171,63,108
2020-02-14,169,63,106
2020-02-15,168,66,102
2020-02-16,147,68,79
2020-02-17,142,63,79
2020-02-18,132,63,69
2020-02-19,141,57,84
2020-02-20,138,59,79
2020-02-21,147,63,84
2020-02-22,158,59,99
2020-02-23,133,59,74
2020-02-24,140,64,76
2020-02-25,135,61,74
2020-02-26,150,63,87
2020-02-27,160,74,86
2020-02-28,150,61,89
2020-02-29,144,57,87
2020-03-01,131,57,74
2020-03-02,135,57,78
2020-03-03,130,59,71
2020-03-04,128,59,69
2020-03-05,130,59,71
2020-03-06,137,64,73
2020-03-07,133,59,74
2020-03-08,126,57,69
2020-03-09,124,59,65
2020-03-10,131,61,70
2020-03-11,127,57,70
2020-03-12,126,61,65
2020-03-13,67,,67
2020-03-14,67,,67
2020-03-15,67,,67
2020-03-16,124,59,65
2020-03-17,119,59,60
2020-03-18,122,61,61
2020-03-19,65,,65
2020-03-20,63,,63
2020-03-21,127,64,63
2020-03-22,61,,61
2020-03-23,63,,63
2020-03-24,60,,60
2020-03-25,126,59,67
2020-03-26,125,59,66
2020-03-27,61,,61
2020-03-28,133,59,74
2020-03-29,60,,60
2020-03-30,128,63,65
2020-03-31,74,,74
2020-04-01,122,61,61
