日期,全部,pc,移动
2019-12-01,57,,57
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,57,,57
2019-12-25,,,
2019-12-26,57,57,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,60,,60
2020-01-21,182,63,119
2020-01-22,289,72,217
2020-01-23,376,80,296
2020-01-24,239,61,178
2020-01-25,303,72,231
2020-01-26,301,76,225
2020-01-27,332,78,254
2020-01-28,257,68,189
2020-01-29,245,80,165
2020-01-30,246,64,182
2020-01-31,275,101,174
2020-02-01,245,87,158
2020-02-02,242,68,174
2020-02-03,239,85,154
2020-02-04,271,82,189
2020-02-05,250,70,180
2020-02-06,250,80,170
2020-02-07,228,83,145
2020-02-08,193,59,134
2020-02-09,215,74,141
2020-02-10,234,83,151
2020-02-11,230,82,148
2020-02-12,224,76,148
2020-02-13,185,66,119
2020-02-14,208,72,136
2020-02-15,189,66,123
2020-02-16,168,64,104
2020-02-17,174,61,113
2020-02-18,170,66,104
2020-02-19,202,80,122
2020-02-20,182,72,110
2020-02-21,179,70,109
2020-02-22,149,57,92
2020-02-23,160,63,97
2020-02-24,165,59,106
2020-02-25,172,66,106
2020-02-26,227,70,157
2020-02-27,186,74,112
2020-02-28,179,61,118
2020-02-29,169,64,105
2020-03-01,156,57,99
2020-03-02,156,64,92
2020-03-03,166,64,102
2020-03-04,160,68,92
2020-03-05,92,,92
2020-03-06,150,70,80
2020-03-07,148,61,87
2020-03-08,148,61,87
2020-03-09,145,63,82
2020-03-10,145,59,86
2020-03-11,144,64,80
2020-03-12,141,61,80
2020-03-13,143,70,73
2020-03-14,132,59,73
2020-03-15,79,,79
2020-03-16,137,66,71
2020-03-17,137,61,76
2020-03-18,130,63,67
2020-03-19,132,63,69
2020-03-20,131,61,70
2020-03-21,129,59,70
2020-03-22,126,57,69
2020-03-23,143,61,82
2020-03-24,130,57,73
2020-03-25,140,61,79
2020-03-26,70,,70
2020-03-27,129,59,70
2020-03-28,67,,67
2020-03-29,123,57,66
2020-03-30,133,59,74
2020-03-31,131,61,70
2020-04-01,139,61,78
