日期,全部,pc,移动
2019-12-01,61,,61
2019-12-02,57,,57
2019-12-03,114,57,57
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,60,,60
2019-12-08,58,,58
2019-12-09,57,,57
2019-12-10,57,,57
2019-12-11,58,,58
2019-12-12,57,,57
2019-12-13,57,,57
2019-12-14,,,
2019-12-15,60,,60
2019-12-16,58,,58
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,58,,58
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,57,,57
2019-12-26,,,
2019-12-27,58,,58
2019-12-28,58,,58
2019-12-29,,,
2019-12-30,57,,57
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,61,,61
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,60,,60
2020-01-12,57,,57
2020-01-13,,,
2020-01-14,,,
2020-01-15,57,,57
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,,,
2020-01-19,60,,60
2020-01-20,141,61,80
2020-01-21,329,68,261
2020-01-22,607,83,524
2020-01-23,887,91,796
2020-01-24,509,80,429
2020-01-25,661,64,597
2020-01-26,549,63,486
2020-01-27,565,82,483
2020-01-28,523,68,455
2020-01-29,369,74,295
2020-01-30,349,78,271
2020-01-31,392,87,305
2020-02-01,359,74,285
2020-02-02,342,68,274
2020-02-03,359,89,270
2020-02-04,331,74,257
2020-02-05,342,85,257
2020-02-06,349,97,252
2020-02-07,313,82,231
2020-02-08,345,64,281
2020-02-09,312,85,227
2020-02-10,331,82,249
2020-02-11,279,68,211
2020-02-12,289,78,211
2020-02-13,294,70,224
2020-02-14,311,76,235
2020-02-15,230,64,166
2020-02-16,245,64,181
2020-02-17,238,64,174
2020-02-18,232,68,164
2020-02-19,260,70,190
2020-02-20,222,64,158
2020-02-21,239,61,178
2020-02-22,227,61,166
2020-02-23,242,64,178
2020-02-24,235,64,171
2020-02-25,259,82,177
2020-02-26,244,70,174
2020-02-27,229,72,157
2020-02-28,269,82,187
2020-02-29,221,64,157
2020-03-01,227,61,166
2020-03-02,231,72,159
2020-03-03,237,74,163
2020-03-04,207,63,144
2020-03-05,214,63,151
2020-03-06,200,64,136
2020-03-07,196,74,122
2020-03-08,190,64,126
2020-03-09,203,68,135
2020-03-10,204,59,145
2020-03-11,172,66,106
2020-03-12,180,74,106
2020-03-13,168,63,105
2020-03-14,162,57,105
2020-03-15,184,59,125
2020-03-16,168,64,104
2020-03-17,210,66,144
2020-03-18,189,68,121
2020-03-19,166,64,102
2020-03-20,171,66,105
2020-03-21,166,57,109
2020-03-22,148,57,91
2020-03-23,168,59,109
2020-03-24,165,63,102
2020-03-25,162,63,99
2020-03-26,167,63,104
2020-03-27,188,70,118
2020-03-28,178,59,119
2020-03-29,173,64,109
2020-03-30,209,78,131
2020-03-31,191,66,125
2020-04-01,202,70,132
