日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,61,,61
2020-01-21,174,72,102
2020-01-22,268,70,198
2020-01-23,344,83,261
2020-01-24,275,82,193
2020-01-25,309,74,235
2020-01-26,277,66,211
2020-01-27,277,85,192
2020-01-28,287,83,204
2020-01-29,252,85,167
2020-01-30,248,72,176
2020-01-31,266,87,179
2020-02-01,250,80,170
2020-02-02,240,78,162
2020-02-03,236,93,143
2020-02-04,210,76,134
2020-02-05,208,74,134
2020-02-06,233,78,155
2020-02-07,232,78,154
2020-02-08,200,70,130
2020-02-09,211,68,143
2020-02-10,194,68,126
2020-02-11,186,64,122
2020-02-12,193,74,119
2020-02-13,195,80,115
2020-02-14,178,66,112
2020-02-15,192,64,128
2020-02-16,170,66,104
2020-02-17,175,57,118
2020-02-18,198,68,130
2020-02-19,170,61,109
2020-02-20,166,57,109
2020-02-21,185,63,122
2020-02-22,172,63,109
2020-02-23,153,61,92
2020-02-24,188,66,122
2020-02-25,168,66,102
2020-02-26,198,68,130
2020-02-27,179,66,113
2020-02-28,166,61,105
2020-02-29,173,61,112
2020-03-01,174,64,110
2020-03-02,143,61,82
2020-03-03,152,63,89
2020-03-04,146,63,83
2020-03-05,161,72,89
2020-03-06,163,74,89
2020-03-07,138,64,74
2020-03-08,152,59,93
2020-03-09,157,68,89
2020-03-10,152,68,84
2020-03-11,143,63,80
2020-03-12,137,61,76
2020-03-13,147,64,83
2020-03-14,137,61,76
2020-03-15,141,59,82
2020-03-16,150,66,84
2020-03-17,137,64,73
2020-03-18,151,59,92
2020-03-19,139,61,78
2020-03-20,129,59,70
2020-03-21,73,,73
2020-03-22,131,57,74
2020-03-23,146,59,87
2020-03-24,63,,63
2020-03-25,135,61,74
2020-03-26,129,59,70
2020-03-27,135,59,76
2020-03-28,66,,66
2020-03-29,127,61,66
2020-03-30,137,61,76
2020-03-31,133,63,70
2020-04-01,132,59,73
