日期,全部,pc,移动
2019-12-01,57,,57
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,114,57,57
2019-12-06,57,,57
2019-12-07,57,,57
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,,57
2019-12-11,57,57,
2019-12-12,,,
2019-12-13,,,
2019-12-14,58,,58
2019-12-15,,,
2019-12-16,57,57,
2019-12-17,57,57,
2019-12-18,,,
2019-12-19,,,
2019-12-20,58,,58
2019-12-21,,,
2019-12-22,58,,58
2019-12-23,57,,57
2019-12-24,114,57,57
2019-12-25,,,
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,58,,58
2019-12-31,57,,57
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,57,57,
2020-01-05,60,,60
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,57,57,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,58,,58
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,69,,69
2020-01-21,228,68,160
2020-01-22,349,83,266
2020-01-23,551,118,433
2020-01-24,342,72,270
2020-01-25,434,97,337
2020-01-26,434,106,328
2020-01-27,354,85,269
2020-01-28,332,76,256
2020-01-29,316,91,225
2020-01-30,289,83,206
2020-01-31,298,76,222
2020-02-01,300,85,215
2020-02-02,311,87,224
2020-02-03,333,101,232
2020-02-04,303,91,212
2020-02-05,306,91,215
2020-02-06,284,91,193
2020-02-07,284,78,206
2020-02-08,251,74,177
2020-02-09,264,83,181
2020-02-10,268,87,181
2020-02-11,239,78,161
2020-02-12,256,76,180
2020-02-13,252,72,180
2020-02-14,259,70,189
2020-02-15,227,78,149
2020-02-16,227,68,159
2020-02-17,206,63,143
2020-02-18,214,66,148
2020-02-19,224,72,152
2020-02-20,202,63,139
2020-02-21,198,68,130
2020-02-22,204,68,136
2020-02-23,209,68,141
2020-02-24,214,76,138
2020-02-25,244,87,157
2020-02-26,224,64,160
2020-02-27,226,78,148
2020-02-28,230,63,167
2020-02-29,223,64,159
2020-03-01,227,80,147
2020-03-02,201,66,135
2020-03-03,200,70,130
2020-03-04,197,66,131
2020-03-05,204,74,130
2020-03-06,184,78,106
2020-03-07,180,63,117
2020-03-08,180,63,117
2020-03-09,179,66,113
2020-03-10,189,70,119
2020-03-11,167,68,99
2020-03-12,186,68,118
2020-03-13,173,63,110
2020-03-14,161,61,100
2020-03-15,100,,100
2020-03-16,142,59,83
2020-03-17,178,68,110
2020-03-18,165,57,108
2020-03-19,156,61,95
2020-03-20,143,63,80
2020-03-21,143,61,82
2020-03-22,137,57,80
2020-03-23,148,64,84
2020-03-24,135,59,76
2020-03-25,92,,92
2020-03-26,155,64,91
2020-03-27,142,63,79
2020-03-28,159,57,102
2020-03-29,163,57,106
2020-03-30,166,66,100
2020-03-31,163,63,100
2020-04-01,159,64,95
