日期,全部,pc,移动
2019-12-01,145,,145
2019-12-02,193,63,130
2019-12-03,194,64,130
2019-12-04,192,66,126
2019-12-05,223,68,155
2019-12-06,187,64,123
2019-12-07,218,63,155
2019-12-08,237,64,173
2019-12-09,325,76,249
2019-12-10,260,76,184
2019-12-11,218,82,136
2019-12-12,188,57,131
2019-12-13,190,59,131
2019-12-14,191,61,130
2019-12-15,189,61,128
2019-12-16,217,66,151
2019-12-17,202,68,134
2019-12-18,207,66,141
2019-12-19,189,59,130
2019-12-20,193,74,119
2019-12-21,166,57,109
2019-12-22,232,61,171
2019-12-23,205,61,144
2019-12-24,212,64,148
2019-12-25,214,80,134
2019-12-26,169,64,105
2019-12-27,174,57,117
2019-12-28,182,59,123
2019-12-29,176,59,117
2019-12-30,178,66,112
2019-12-31,218,82,136
2020-01-01,182,57,125
2020-01-02,182,61,121
2020-01-03,181,66,115
2020-01-04,189,57,132
2020-01-05,183,57,126
2020-01-06,182,64,118
2020-01-07,172,70,102
2020-01-08,180,74,106
2020-01-09,178,70,108
2020-01-10,160,63,97
2020-01-11,106,,106
2020-01-12,162,57,105
2020-01-13,186,61,125
2020-01-14,169,63,106
2020-01-15,162,63,99
2020-01-16,147,61,86
2020-01-17,166,61,105
2020-01-18,160,61,99
2020-01-19,199,64,135
2020-01-20,649,187,462
2020-01-21,2720,642,2078
2020-01-22,6450,892,5558
2020-01-23,10255,938,9317
2020-01-24,5976,724,5252
2020-01-25,8255,844,7411
2020-01-26,9122,902,8220
2020-01-27,6745,891,5854
2020-01-28,5561,902,4659
2020-01-29,4881,860,4021
2020-01-30,4566,861,3705
2020-01-31,4686,895,3791
2020-02-01,4339,869,3470
2020-02-02,4293,868,3425
2020-02-03,4111,881,3230
2020-02-04,4045,858,3187
2020-02-05,4052,877,3175
2020-02-06,4370,897,3473
2020-02-07,4341,886,3455
2020-02-08,4361,863,3498
2020-02-09,4157,844,3313
2020-02-10,4198,936,3262
2020-02-11,3901,904,2997
2020-02-12,3799,881,2918
2020-02-13,3761,860,2901
2020-02-14,3859,888,2971
2020-02-15,3155,713,2442
2020-02-16,2986,608,2378
2020-02-17,3188,861,2327
2020-02-18,2895,783,2112
2020-02-19,2920,789,2131
2020-02-20,2863,718,2145
2020-02-21,3050,727,2323
2020-02-22,3005,608,2397
2020-02-23,3015,551,2464
2020-02-24,3359,747,2612
2020-02-25,3645,856,2789
2020-02-26,3671,834,2837
2020-02-27,3395,817,2578
2020-02-28,3307,820,2487
2020-02-29,3046,592,2454
2020-03-01,2660,543,2117
2020-03-02,2790,842,1948
2020-03-03,2378,560,1818
2020-03-04,2313,695,1618
2020-03-05,2186,603,1583
2020-03-06,2005,611,1394
2020-03-07,1656,412,1244
2020-03-08,1544,346,1198
2020-03-09,1815,606,1209
2020-03-10,1861,631,1230
2020-03-11,1675,516,1159
2020-03-12,1527,456,1071
2020-03-13,1568,501,1067
2020-03-14,1314,321,993
2020-03-15,1239,264,975
2020-03-16,1499,523,976
2020-03-17,1519,558,961
2020-03-18,1558,600,958
2020-03-19,1354,416,938
2020-03-20,1352,437,915
2020-03-21,1154,248,906
2020-03-22,1006,104,902
2020-03-23,1295,405,890
2020-03-24,1219,316,903
2020-03-25,1304,414,890
2020-03-26,1315,408,907
2020-03-27,1234,354,880
2020-03-28,1141,234,907
2020-03-29,1148,257,891
2020-03-30,1405,493,912
2020-03-31,1311,408,903
2020-04-01,1233,350,883
