日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,58,,58
2019-12-09,66,,66
2019-12-10,58,,58
2019-12-11,60,,60
2019-12-12,58,,58
2019-12-13,,,
2019-12-14,57,57,
2019-12-15,,,
2019-12-16,58,,58
2019-12-17,57,57,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,57,57,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,57,,57
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,57,,57
2020-01-14,57,57,
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,57,
2020-01-18,,,
2020-01-19,,,
2020-01-20,124,59,65
2020-01-21,160,63,97
2020-01-22,286,78,208
2020-01-23,427,114,313
2020-01-24,257,68,189
2020-01-25,297,82,215
2020-01-26,390,91,299
2020-01-27,338,106,232
2020-01-28,286,93,193
2020-01-29,262,78,184
2020-01-30,251,78,173
2020-01-31,280,83,197
2020-02-01,235,72,163
2020-02-02,279,95,184
2020-02-03,246,85,161
2020-02-04,247,80,167
2020-02-05,254,99,155
2020-02-06,251,83,168
2020-02-07,249,85,164
2020-02-08,266,95,171
2020-02-09,241,70,171
2020-02-10,286,102,184
2020-02-11,250,95,155
2020-02-12,249,85,164
2020-02-13,254,80,174
2020-02-14,264,93,171
2020-02-15,217,63,154
2020-02-16,194,64,130
2020-02-17,233,78,155
2020-02-18,174,68,106
2020-02-19,206,70,136
2020-02-20,198,70,128
2020-02-21,206,70,136
2020-02-22,185,70,115
2020-02-23,200,66,134
2020-02-24,179,74,105
2020-02-25,224,83,141
2020-02-26,221,83,138
2020-02-27,210,74,136
2020-02-28,219,89,130
2020-02-29,193,70,123
2020-03-01,183,68,115
2020-03-02,198,83,115
2020-03-03,195,76,119
2020-03-04,178,68,110
2020-03-05,176,63,113
2020-03-06,186,76,110
2020-03-07,176,66,110
2020-03-08,154,63,91
2020-03-09,155,64,91
2020-03-10,162,76,86
2020-03-11,144,61,83
2020-03-12,166,70,96
2020-03-13,159,64,95
2020-03-14,152,70,82
2020-03-15,154,59,95
2020-03-16,138,68,70
2020-03-17,159,68,91
2020-03-18,160,80,80
2020-03-19,134,61,73
2020-03-20,132,63,69
2020-03-21,141,61,80
2020-03-22,128,59,69
2020-03-23,139,59,80
2020-03-24,134,64,70
2020-03-25,137,63,74
2020-03-26,147,61,86
2020-03-27,130,57,73
2020-03-28,141,61,80
2020-03-29,132,59,73
2020-03-30,134,64,70
2020-03-31,135,64,71
2020-04-01,130,59,71
