日期,全部,pc,移动
2019-12-01,63,,63
2019-12-02,63,,63
2019-12-03,117,57,60
2019-12-04,114,57,57
2019-12-05,73,,73
2019-12-06,58,,58
2019-12-07,58,,58
2019-12-08,124,57,67
2019-12-09,127,57,70
2019-12-10,61,,61
2019-12-11,65,,65
2019-12-12,60,,60
2019-12-13,65,,65
2019-12-14,57,,57
2019-12-15,61,,61
2019-12-16,61,,61
2019-12-17,115,57,58
2019-12-18,63,,63
2019-12-19,66,,66
2019-12-20,120,57,63
2019-12-21,61,,61
2019-12-22,114,57,57
2019-12-23,60,,60
2019-12-24,63,,63
2019-12-25,118,57,61
2019-12-26,,,
2019-12-27,61,,61
2019-12-28,117,57,60
2019-12-29,57,57,
2019-12-30,114,57,57
2019-12-31,61,,61
2020-01-01,58,,58
2020-01-02,117,57,60
2020-01-03,60,,60
2020-01-04,60,,60
2020-01-05,61,,61
2020-01-06,60,,60
2020-01-07,57,,57
2020-01-08,116,59,57
2020-01-09,57,,57
2020-01-10,57,57,
2020-01-11,61,,61
2020-01-12,58,,58
2020-01-13,61,,61
2020-01-14,58,,58
2020-01-15,,,
2020-01-16,,,
2020-01-17,63,,63
2020-01-18,57,,57
2020-01-19,58,,58
2020-01-20,143,59,84
2020-01-21,470,104,366
2020-01-22,1034,168,866
2020-01-23,1203,158,1045
2020-01-24,972,121,851
2020-01-25,996,99,897
2020-01-26,1175,172,1003
2020-01-27,1018,146,872
2020-01-28,872,152,720
2020-01-29,783,139,644
2020-01-30,733,120,613
2020-01-31,725,127,598
2020-02-01,625,112,513
2020-02-02,662,116,546
2020-02-03,614,123,491
2020-02-04,580,102,478
2020-02-05,613,120,493
2020-02-06,683,154,529
2020-02-07,633,121,512
2020-02-08,651,137,514
2020-02-09,552,104,448
2020-02-10,640,118,522
2020-02-11,629,135,494
2020-02-12,599,116,483
2020-02-13,587,102,485
2020-02-14,620,116,504
2020-02-15,528,91,437
2020-02-16,556,106,450
2020-02-17,515,104,411
2020-02-18,528,116,412
2020-02-19,464,106,358
2020-02-20,562,102,460
2020-02-21,629,114,515
2020-02-22,665,129,536
2020-02-23,646,99,547
2020-02-24,746,108,638
2020-02-25,789,123,666
2020-02-26,726,108,618
2020-02-27,640,118,522
2020-02-28,693,123,570
2020-02-29,575,120,455
2020-03-01,510,97,413
2020-03-02,466,99,367
2020-03-03,471,104,367
2020-03-04,436,120,316
2020-03-05,439,101,338
2020-03-06,391,114,277
2020-03-07,348,82,266
2020-03-08,358,87,271
2020-03-09,349,99,250
2020-03-10,345,106,239
2020-03-11,340,101,239
2020-03-12,321,97,224
2020-03-13,317,95,222
2020-03-14,277,72,205
2020-03-15,272,76,196
2020-03-16,313,101,212
2020-03-17,280,72,208
2020-03-18,300,114,186
2020-03-19,257,78,179
2020-03-20,257,64,193
2020-03-21,243,70,173
2020-03-22,176,,176
2020-03-23,236,78,158
2020-03-24,250,74,176
2020-03-25,229,80,149
2020-03-26,235,78,157
2020-03-27,240,70,170
2020-03-28,219,72,147
2020-03-29,236,74,162
2020-03-30,238,87,151
2020-03-31,254,83,171
2020-04-01,227,76,151
