日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,60,,60
2019-12-04,,,
2019-12-05,57,,57
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,57,,57
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,57,,57
2019-12-17,57,,57
2019-12-18,59,59,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,60,,60
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,58,,58
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,57,,57
2020-01-13,,,
2020-01-14,114,57,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,57,
2020-01-18,,,
2020-01-19,58,,58
2020-01-20,121,61,60
2020-01-21,217,85,132
2020-01-22,396,89,307
2020-01-23,633,129,504
2020-01-24,315,80,235
2020-01-25,398,93,305
2020-01-26,402,102,300
2020-01-27,472,135,337
2020-01-28,430,135,295
2020-01-29,330,102,228
2020-01-30,324,99,225
2020-01-31,324,102,222
2020-02-01,292,89,203
2020-02-02,240,82,158
2020-02-03,243,76,167
2020-02-04,233,89,144
2020-02-05,228,74,154
2020-02-06,253,83,170
2020-02-07,250,91,159
2020-02-08,266,89,177
2020-02-09,263,93,170
2020-02-10,278,116,162
2020-02-11,285,104,181
2020-02-12,281,101,180
2020-02-13,284,97,187
2020-02-14,344,106,238
2020-02-15,249,78,171
2020-02-16,246,68,178
2020-02-17,242,87,155
2020-02-18,219,78,141
2020-02-19,235,83,152
2020-02-20,212,76,136
2020-02-21,248,87,161
2020-02-22,236,74,162
2020-02-23,212,61,151
2020-02-24,248,82,166
2020-02-25,307,118,189
2020-02-26,255,93,162
2020-02-27,248,91,157
2020-02-28,269,95,174
2020-02-29,243,83,160
2020-03-01,213,72,141
2020-03-02,205,97,108
2020-03-03,216,80,136
2020-03-04,187,74,113
2020-03-05,203,78,125
2020-03-06,197,80,117
2020-03-07,204,72,132
2020-03-08,166,64,102
2020-03-09,163,68,95
2020-03-10,191,78,113
2020-03-11,177,78,99
2020-03-12,179,70,109
2020-03-13,180,76,104
2020-03-14,171,78,93
2020-03-15,146,59,87
2020-03-16,167,70,97
2020-03-17,171,78,93
2020-03-18,162,76,86
2020-03-19,154,61,93
2020-03-20,160,74,86
2020-03-21,135,61,74
2020-03-22,155,59,96
2020-03-23,151,68,83
2020-03-24,142,59,83
2020-03-25,141,70,71
2020-03-26,161,70,91
2020-03-27,139,68,71
2020-03-28,89,,89
2020-03-29,142,68,74
2020-03-30,152,72,80
2020-03-31,151,68,83
2020-04-01,141,72,69
