日期,全部,pc,移动
2019-12-01,57,,57
2019-12-02,57,,57
2019-12-03,57,,57
2019-12-04,,,
2019-12-05,,,
2019-12-06,60,,60
2019-12-07,,,
2019-12-08,61,,61
2019-12-09,117,57,60
2019-12-10,60,,60
2019-12-11,57,57,
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,57,,57
2019-12-16,58,,58
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,58,,58
2019-12-23,,,
2019-12-24,57,57,
2019-12-25,57,57,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,57,,57
2020-01-01,,,
2020-01-02,58,,58
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,,,
2020-01-09,61,61,
2020-01-10,114,57,57
2020-01-11,,,
2020-01-12,57,,57
2020-01-13,61,,61
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,117,57,60
2020-01-21,181,64,117
2020-01-22,290,82,208
2020-01-23,489,101,388
2020-01-24,293,61,232
2020-01-25,498,82,416
2020-01-26,536,78,458
2020-01-27,424,97,327
2020-01-28,356,95,261
2020-01-29,316,82,234
2020-01-30,341,87,254
2020-01-31,336,102,234
2020-02-01,322,91,231
2020-02-02,304,85,219
2020-02-03,343,101,242
2020-02-04,354,85,269
2020-02-05,329,97,232
2020-02-06,328,76,252
2020-02-07,342,85,257
2020-02-08,355,91,264
2020-02-09,322,74,248
2020-02-10,333,99,234
2020-02-11,291,82,209
2020-02-12,301,89,212
2020-02-13,293,78,215
2020-02-14,338,114,224
2020-02-15,290,89,201
2020-02-16,289,70,219
2020-02-17,253,83,170
2020-02-18,276,95,181
2020-02-19,244,66,178
2020-02-20,263,76,187
2020-02-21,318,76,242
2020-02-22,291,83,208
2020-02-23,330,78,252
2020-02-24,285,70,215
2020-02-25,333,83,250
2020-02-26,336,80,256
2020-02-27,357,83,274
2020-02-28,328,85,243
2020-02-29,334,70,264
2020-03-01,293,74,219
2020-03-02,297,91,206
2020-03-03,237,66,171
2020-03-04,256,74,182
2020-03-05,219,70,149
2020-03-06,207,72,135
2020-03-07,187,70,117
2020-03-08,186,61,125
2020-03-09,237,76,161
2020-03-10,207,64,143
2020-03-11,191,61,130
2020-03-12,176,61,115
2020-03-13,194,68,126
2020-03-14,179,61,118
2020-03-15,171,59,112
2020-03-16,165,63,102
2020-03-17,188,70,118
2020-03-18,187,72,115
2020-03-19,171,66,105
2020-03-20,149,57,92
2020-03-21,144,61,83
2020-03-22,137,57,80
2020-03-23,167,59,108
2020-03-24,165,57,108
2020-03-25,157,64,93
2020-03-26,162,63,99
2020-03-27,166,66,100
2020-03-28,152,59,93
2020-03-29,100,,100
2020-03-30,148,66,82
2020-03-31,155,59,96
2020-04-01,154,63,91
