日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,116,59,57
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,57,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,57,
2019-12-15,58,,58
2019-12-16,,,
2019-12-17,58,,58
2019-12-18,,,
2019-12-19,,,
2019-12-20,57,57,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,117,57,60
2019-12-27,,,
2019-12-28,,,
2019-12-29,58,,58
2019-12-30,57,57,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,58,,58
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,57,57,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,58,,58
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,,,
2020-01-19,58,,58
2020-01-20,123,57,66
2020-01-21,202,85,117
2020-01-22,377,85,292
2020-01-23,489,95,394
2020-01-24,238,70,168
2020-01-25,379,85,294
2020-01-26,392,76,316
2020-01-27,312,76,236
2020-01-28,282,89,193
2020-01-29,262,76,186
2020-01-30,221,70,151
2020-01-31,264,82,182
2020-02-01,235,70,165
2020-02-02,265,89,176
2020-02-03,294,101,193
2020-02-04,279,80,199
2020-02-05,261,91,170
2020-02-06,261,91,170
2020-02-07,225,68,157
2020-02-08,221,70,151
2020-02-09,252,82,170
2020-02-10,227,101,126
2020-02-11,212,64,148
2020-02-12,231,82,149
2020-02-13,231,66,165
2020-02-14,225,91,134
2020-02-15,200,72,128
2020-02-16,218,61,157
2020-02-17,198,68,130
2020-02-18,212,74,138
2020-02-19,198,68,130
2020-02-20,191,72,119
2020-02-21,200,68,132
2020-02-22,220,68,152
2020-02-23,204,57,147
2020-02-24,209,68,141
2020-02-25,223,72,151
2020-02-26,244,70,174
2020-02-27,250,74,176
2020-02-28,225,76,149
2020-02-29,230,70,160
2020-03-01,198,70,128
2020-03-02,214,66,148
2020-03-03,188,63,125
2020-03-04,171,78,93
2020-03-05,191,70,121
2020-03-06,205,74,131
2020-03-07,176,64,112
2020-03-08,173,64,109
2020-03-09,182,70,112
2020-03-10,150,63,87
2020-03-11,158,63,95
2020-03-12,146,59,87
2020-03-13,160,63,97
2020-03-14,138,59,79
2020-03-15,140,57,83
2020-03-16,156,70,86
2020-03-17,171,78,93
2020-03-18,165,68,97
2020-03-19,142,68,74
2020-03-20,141,59,82
2020-03-21,138,59,79
2020-03-22,141,57,84
2020-03-23,130,59,71
2020-03-24,139,63,76
2020-03-25,135,59,76
2020-03-26,155,68,87
2020-03-27,96,,96
2020-03-28,136,57,79
2020-03-29,142,64,78
2020-03-30,135,66,69
2020-03-31,134,63,71
2020-04-01,126,59,67
