日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,57,57,
2019-12-14,,,
2019-12-15,,,
2019-12-16,57,,57
2019-12-17,57,57,
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,59,59,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,60,,60
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,57,,57
2020-01-02,,,
2020-01-03,57,57,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,60,,60
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,58,,58
2020-01-21,199,61,138
2020-01-22,311,87,224
2020-01-23,492,108,384
2020-01-24,339,89,250
2020-01-25,415,99,316
2020-01-26,529,97,432
2020-01-27,528,114,414
2020-01-28,414,104,310
2020-01-29,328,97,231
2020-01-30,334,99,235
2020-01-31,340,106,234
2020-02-01,323,91,232
2020-02-02,302,78,224
2020-02-03,317,102,215
2020-02-04,309,97,212
2020-02-05,338,102,236
2020-02-06,311,102,209
2020-02-07,304,85,219
2020-02-08,298,99,199
2020-02-09,276,80,196
2020-02-10,273,99,174
2020-02-11,283,102,181
2020-02-12,268,85,183
2020-02-13,285,80,205
2020-02-14,309,78,231
2020-02-15,270,74,196
2020-02-16,262,80,182
2020-02-17,259,80,179
2020-02-18,228,68,160
2020-02-19,246,78,168
2020-02-20,246,72,174
2020-02-21,261,80,181
2020-02-22,235,59,176
2020-02-23,234,70,164
2020-02-24,286,89,197
2020-02-25,272,83,189
2020-02-26,271,78,193
2020-02-27,252,78,174
2020-02-28,263,70,193
2020-02-29,262,66,196
2020-03-01,231,66,165
2020-03-02,224,70,154
2020-03-03,215,61,154
2020-03-04,230,82,148
2020-03-05,181,64,117
2020-03-06,193,68,125
2020-03-07,187,72,115
2020-03-08,182,64,118
2020-03-09,180,68,112
2020-03-10,196,70,126
2020-03-11,177,72,105
2020-03-12,175,66,109
2020-03-13,162,66,96
2020-03-14,180,76,104
2020-03-15,141,59,82
2020-03-16,175,78,97
2020-03-17,162,70,92
2020-03-18,157,68,89
2020-03-19,144,64,80
2020-03-20,150,74,76
2020-03-21,134,61,73
2020-03-22,92,,92
2020-03-23,145,72,73
2020-03-24,138,59,79
2020-03-25,143,59,84
2020-03-26,167,68,99
2020-03-27,144,66,78
2020-03-28,162,63,99
2020-03-29,159,64,95
2020-03-30,142,59,83
2020-03-31,131,64,67
2020-04-01,141,61,80
