日期,全部,pc,移动
2019-12-01,61,,61
2019-12-02,58,,58
2019-12-03,,,
2019-12-04,,,
2019-12-05,114,57,57
2019-12-06,,,
2019-12-07,,,
2019-12-08,57,57,
2019-12-09,60,,60
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,114,57,57
2019-12-17,57,,57
2019-12-18,57,,57
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,57,,57
2019-12-23,115,57,58
2019-12-24,60,,60
2019-12-25,61,,61
2019-12-26,57,,57
2019-12-27,60,,60
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,57,,57
2019-12-31,57,57,
2020-01-01,58,,58
2020-01-02,,,
2020-01-03,58,,58
2020-01-04,,,
2020-01-05,57,,57
2020-01-06,57,,57
2020-01-07,57,,57
2020-01-08,57,57,
2020-01-09,58,,58
2020-01-10,,,
2020-01-11,,,
2020-01-12,57,,57
2020-01-13,58,,58
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,117,57,60
2020-01-18,,,
2020-01-19,58,,58
2020-01-20,122,61,61
2020-01-21,233,72,161
2020-01-22,442,101,341
2020-01-23,653,99,554
2020-01-24,388,83,305
2020-01-25,602,87,515
2020-01-26,745,135,610
2020-01-27,580,89,491
2020-01-28,517,120,397
2020-01-29,424,101,323
2020-01-30,465,139,326
2020-01-31,432,106,326
2020-02-01,403,102,301
2020-02-02,391,99,292
2020-02-03,341,99,242
2020-02-04,322,97,225
2020-02-05,329,95,234
2020-02-06,353,99,254
2020-02-07,386,97,289
2020-02-08,321,83,238
2020-02-09,333,87,246
2020-02-10,355,106,249
2020-02-11,316,91,225
2020-02-12,282,87,195
2020-02-13,310,91,219
2020-02-14,316,85,231
2020-02-15,304,93,211
2020-02-16,316,110,206
2020-02-17,295,99,196
2020-02-18,265,83,182
2020-02-19,286,101,185
2020-02-20,249,76,173
2020-02-21,305,83,222
2020-02-22,309,78,231
2020-02-23,332,91,241
2020-02-24,332,93,239
2020-02-25,344,89,255
2020-02-26,352,89,263
2020-02-27,311,80,231
2020-02-28,308,89,219
2020-02-29,272,70,202
2020-03-01,288,91,197
2020-03-02,274,93,181
2020-03-03,242,85,157
2020-03-04,235,78,157
2020-03-05,223,78,145
2020-03-06,236,93,143
2020-03-07,209,83,126
2020-03-08,200,78,122
2020-03-09,195,87,108
2020-03-10,225,91,134
2020-03-11,185,72,113
2020-03-12,185,68,117
2020-03-13,181,66,115
2020-03-14,185,66,119
2020-03-15,168,64,104
2020-03-16,178,70,108
2020-03-17,187,70,117
2020-03-18,180,80,100
2020-03-19,157,70,87
2020-03-20,179,74,105
2020-03-21,165,59,106
2020-03-22,167,59,108
2020-03-23,157,61,96
2020-03-24,173,74,99
2020-03-25,156,64,92
2020-03-26,165,74,91
2020-03-27,152,66,86
2020-03-28,144,,144
2020-03-29,158,59,99
2020-03-30,167,72,95
2020-03-31,157,66,91
2020-04-01,161,66,95
