日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,57,
2019-12-03,58,,58
2019-12-04,,,
2019-12-05,,,
2019-12-06,58,,58
2019-12-07,60,,60
2019-12-08,58,,58
2019-12-09,60,,60
2019-12-10,58,,58
2019-12-11,61,61,
2019-12-12,61,,61
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,60,,60
2019-12-16,,,
2019-12-17,57,,57
2019-12-18,57,57,
2019-12-19,57,,57
2019-12-20,58,,58
2019-12-21,,,
2019-12-22,63,,63
2019-12-23,57,,57
2019-12-24,57,,57
2019-12-25,57,57,
2019-12-26,57,,57
2019-12-27,60,,60
2019-12-28,,,
2019-12-29,,,
2019-12-30,57,57,
2019-12-31,57,57,
2020-01-01,58,,58
2020-01-02,,,
2020-01-03,115,57,58
2020-01-04,60,,60
2020-01-05,60,,60
2020-01-06,60,,60
2020-01-07,57,,57
2020-01-08,115,57,58
2020-01-09,,,
2020-01-10,57,57,
2020-01-11,58,,58
2020-01-12,,,
2020-01-13,,,
2020-01-14,114,57,57
2020-01-15,57,,57
2020-01-16,57,,57
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,135,61,74
2020-01-21,261,76,185
2020-01-22,586,129,457
2020-01-23,981,158,823
2020-01-24,578,112,466
2020-01-25,889,114,775
2020-01-26,992,151,841
2020-01-27,721,151,570
2020-01-28,618,140,478
2020-01-29,558,140,418
2020-01-30,544,125,419
2020-01-31,587,144,443
2020-02-01,562,158,404
2020-02-02,485,116,369
2020-02-03,465,120,345
2020-02-04,427,106,321
2020-02-05,417,121,296
2020-02-06,407,95,312
2020-02-07,425,112,313
2020-02-08,384,99,285
2020-02-09,382,95,287
2020-02-10,435,123,312
2020-02-11,361,93,268
2020-02-12,373,104,269
2020-02-13,346,82,264
2020-02-14,367,104,263
2020-02-15,379,108,271
2020-02-16,367,89,278
2020-02-17,364,108,256
2020-02-18,361,97,264
2020-02-19,375,108,267
2020-02-20,355,106,249
2020-02-21,395,95,300
2020-02-22,375,87,288
2020-02-23,418,108,310
2020-02-24,429,102,327
2020-02-25,385,91,294
2020-02-26,439,83,356
2020-02-27,422,102,320
2020-02-28,355,87,268
2020-02-29,382,97,285
2020-03-01,338,85,253
2020-03-02,338,106,232
2020-03-03,331,95,236
2020-03-04,286,83,203
2020-03-05,309,97,212
2020-03-06,267,83,184
2020-03-07,247,80,167
2020-03-08,232,72,160
2020-03-09,256,80,176
2020-03-10,242,83,159
2020-03-11,223,76,147
2020-03-12,233,72,161
2020-03-13,246,76,170
2020-03-14,209,66,143
2020-03-15,213,64,149
2020-03-16,233,99,134
2020-03-17,214,70,144
2020-03-18,221,78,143
2020-03-19,187,64,123
2020-03-20,213,78,135
2020-03-21,181,66,115
2020-03-22,181,63,118
2020-03-23,184,80,104
2020-03-24,179,66,113
2020-03-25,188,70,118
2020-03-26,182,72,110
2020-03-27,185,70,115
2020-03-28,191,68,123
2020-03-29,180,72,108
2020-03-30,204,66,138
2020-03-31,168,63,105
2020-04-01,160,61,99
