日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,58,,58
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,,,
2019-12-08,,,
2019-12-09,124,57,67
2019-12-10,58,,58
2019-12-11,63,,63
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,58,,58
2019-12-18,,,
2019-12-19,114,57,57
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,114,57,57
2019-12-25,57,57,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,60,,60
2019-12-31,59,59,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,57,57,
2020-01-05,60,,60
2020-01-06,115,57,58
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,58,,58
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,123,63,60
2020-01-21,175,66,109
2020-01-22,304,83,221
2020-01-23,415,89,326
2020-01-24,331,85,246
2020-01-25,561,97,464
2020-01-26,495,97,398
2020-01-27,394,110,284
2020-01-28,330,95,235
2020-01-29,345,97,248
2020-01-30,305,78,227
2020-01-31,350,108,242
2020-02-01,286,74,212
2020-02-02,277,85,192
2020-02-03,280,99,181
2020-02-04,261,78,183
2020-02-05,271,87,184
2020-02-06,270,80,190
2020-02-07,268,85,183
2020-02-08,273,76,197
2020-02-09,268,91,177
2020-02-10,261,68,193
2020-02-11,282,93,189
2020-02-12,254,80,174
2020-02-13,274,87,187
2020-02-14,287,87,200
2020-02-15,236,63,173
2020-02-16,262,64,198
2020-02-17,284,89,195
2020-02-18,254,78,176
2020-02-19,241,70,171
2020-02-20,228,64,164
2020-02-21,226,74,152
2020-02-22,257,76,181
2020-02-23,256,63,193
2020-02-24,257,70,187
2020-02-25,257,72,185
2020-02-26,300,78,222
2020-02-27,229,64,165
2020-02-28,253,74,179
2020-02-29,287,87,200
2020-03-01,256,74,182
2020-03-02,227,72,155
2020-03-03,231,68,163
2020-03-04,213,68,145
2020-03-05,204,72,132
2020-03-06,180,68,112
2020-03-07,180,63,117
2020-03-08,188,63,125
2020-03-09,205,66,139
2020-03-10,176,72,104
2020-03-11,169,64,105
2020-03-12,156,59,97
2020-03-13,164,64,100
2020-03-14,173,64,109
2020-03-15,157,57,100
2020-03-16,153,61,92
2020-03-17,153,66,87
2020-03-18,162,76,86
2020-03-19,138,64,74
2020-03-20,150,63,87
2020-03-21,153,61,92
2020-03-22,99,,99
2020-03-23,141,59,82
2020-03-24,163,74,89
2020-03-25,147,61,86
2020-03-26,145,61,84
2020-03-27,70,,70
2020-03-28,156,63,93
2020-03-29,147,63,84
2020-03-30,140,57,83
2020-03-31,139,63,76
2020-04-01,148,66,82
