日期,全部,pc,移动
2019-12-01,60,,60
2019-12-02,58,,58
2019-12-03,57,,57
2019-12-04,,,
2019-12-05,118,57,61
2019-12-06,58,,58
2019-12-07,66,,66
2019-12-08,123,57,66
2019-12-09,66,,66
2019-12-10,120,59,61
2019-12-11,61,,61
2019-12-12,61,,61
2019-12-13,,,
2019-12-14,115,57,58
2019-12-15,57,,57
2019-12-16,115,57,58
2019-12-17,,,
2019-12-18,58,,58
2019-12-19,60,,60
2019-12-20,57,,57
2019-12-21,57,,57
2019-12-22,61,,61
2019-12-23,60,,60
2019-12-24,57,57,
2019-12-25,57,57,
2019-12-26,,,
2019-12-27,58,,58
2019-12-28,57,,57
2019-12-29,57,,57
2019-12-30,58,,58
2019-12-31,57,,57
2020-01-01,57,,57
2020-01-02,61,,61
2020-01-03,60,,60
2020-01-04,57,,57
2020-01-05,,,
2020-01-06,,,
2020-01-07,57,57,
2020-01-08,116,59,57
2020-01-09,57,57,
2020-01-10,57,57,
2020-01-11,,,
2020-01-12,57,57,
2020-01-13,58,,58
2020-01-14,58,,58
2020-01-15,57,57,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,155,68,87
2020-01-21,337,108,229
2020-01-22,610,158,452
2020-01-23,946,163,783
2020-01-24,685,121,564
2020-01-25,755,127,628
2020-01-26,886,150,736
2020-01-27,743,150,593
2020-01-28,724,154,570
2020-01-29,553,133,420
2020-01-30,497,110,387
2020-01-31,521,133,388
2020-02-01,448,133,315
2020-02-02,486,133,353
2020-02-03,475,129,346
2020-02-04,494,133,361
2020-02-05,487,121,366
2020-02-06,585,166,419
2020-02-07,537,150,387
2020-02-08,598,157,441
2020-02-09,541,150,391
2020-02-10,568,180,388
2020-02-11,513,165,348
2020-02-12,470,137,333
2020-02-13,419,151,268
2020-02-14,415,148,267
2020-02-15,341,106,235
2020-02-16,358,112,246
2020-02-17,383,142,241
2020-02-18,299,95,204
2020-02-19,316,104,212
2020-02-20,332,112,220
2020-02-21,316,101,215
2020-02-22,329,101,228
2020-02-23,338,91,247
2020-02-24,330,106,224
2020-02-25,347,104,243
2020-02-26,403,129,274
2020-02-27,366,110,256
2020-02-28,312,104,208
2020-02-29,309,87,222
2020-03-01,310,78,232
2020-03-02,322,133,189
2020-03-03,274,95,179
2020-03-04,289,102,187
2020-03-05,315,110,205
2020-03-06,274,101,173
2020-03-07,233,82,151
2020-03-08,247,80,167
2020-03-09,240,80,160
2020-03-10,274,106,168
2020-03-11,281,91,190
2020-03-12,241,83,158
2020-03-13,252,85,167
2020-03-14,208,59,149
2020-03-15,221,70,151
2020-03-16,213,78,135
2020-03-17,235,101,134
2020-03-18,220,85,135
2020-03-19,238,87,151
2020-03-20,208,89,119
2020-03-21,172,66,106
2020-03-22,181,63,118
2020-03-23,196,78,118
2020-03-24,189,72,117
2020-03-25,216,91,125
2020-03-26,191,82,109
2020-03-27,188,80,108
2020-03-28,185,63,122
2020-03-29,170,61,109
2020-03-30,197,74,123
2020-03-31,198,80,118
2020-04-01,174,74,100
