日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,58,,58
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,58,,58
2019-12-15,,,
2019-12-16,,,
2019-12-17,57,57,
2019-12-18,58,,58
2019-12-19,,,
2019-12-20,58,,58
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,60,,60
2019-12-25,,,
2019-12-26,58,,58
2019-12-27,,,
2019-12-28,58,,58
2019-12-29,60,,60
2019-12-30,,,
2019-12-31,,,
2020-01-01,57,57,
2020-01-02,,,
2020-01-03,57,57,
2020-01-04,,,
2020-01-05,58,,58
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,58,,58
2020-01-12,,,
2020-01-13,,,
2020-01-14,58,,58
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,60,,60
2020-01-21,219,68,151
2020-01-22,318,68,250
2020-01-23,587,95,492
2020-01-24,442,91,351
2020-01-25,809,114,695
2020-01-26,726,106,620
2020-01-27,456,112,344
2020-01-28,391,99,292
2020-01-29,359,72,287
2020-01-30,374,85,289
2020-01-31,401,116,285
2020-02-01,309,70,239
2020-02-02,360,104,256
2020-02-03,334,85,249
2020-02-04,318,89,229
2020-02-05,326,102,224
2020-02-06,380,106,274
2020-02-07,379,112,267
2020-02-08,348,74,274
2020-02-09,360,83,277
2020-02-10,371,102,269
2020-02-11,370,110,260
2020-02-12,402,97,305
2020-02-13,375,97,278
2020-02-14,385,110,275
2020-02-15,330,89,241
2020-02-16,291,76,215
2020-02-17,298,74,224
2020-02-18,271,78,193
2020-02-19,298,83,215
2020-02-20,257,76,181
2020-02-21,291,74,217
2020-02-22,294,76,218
2020-02-23,318,66,252
2020-02-24,326,74,252
2020-02-25,339,68,271
2020-02-26,340,83,257
2020-02-27,308,87,221
2020-02-28,335,87,248
2020-02-29,313,78,235
2020-03-01,284,72,212
2020-03-02,270,85,185
2020-03-03,242,68,174
2020-03-04,234,76,158
2020-03-05,230,72,158
2020-03-06,221,70,151
2020-03-07,200,61,139
2020-03-08,217,74,143
2020-03-09,216,72,144
2020-03-10,220,82,138
2020-03-11,192,66,126
2020-03-12,201,70,131
2020-03-13,173,63,110
2020-03-14,190,68,122
2020-03-15,170,61,109
2020-03-16,170,68,102
2020-03-17,188,76,112
2020-03-18,178,68,110
2020-03-19,163,64,99
2020-03-20,172,63,109
2020-03-21,181,66,115
2020-03-22,159,57,102
2020-03-23,147,63,84
2020-03-24,156,63,93
2020-03-25,166,64,102
2020-03-26,167,70,97
2020-03-27,174,64,110
2020-03-28,146,57,89
2020-03-29,166,61,105
2020-03-30,150,64,86
2020-03-31,179,70,109
2020-04-01,174,68,106
