日期,全部,pc,移动
2019-12-01,159,59,100
2019-12-02,139,59,80
2019-12-03,127,57,70
2019-12-04,143,61,82
2019-12-05,78,,78
2019-12-06,137,59,78
2019-12-07,83,,83
2019-12-08,143,59,84
2019-12-09,137,61,76
2019-12-10,82,,82
2019-12-11,76,,76
2019-12-12,70,,70
2019-12-13,74,,74
2019-12-14,136,57,79
2019-12-15,89,,89
2019-12-16,78,,78
2019-12-17,79,,79
2019-12-18,73,,73
2019-12-19,79,,79
2019-12-20,135,57,78
2019-12-21,92,,92
2019-12-22,78,,78
2019-12-23,84,,84
2019-12-24,80,,80
2019-12-25,143,57,86
2019-12-26,89,,89
2019-12-27,135,57,78
2019-12-28,79,,79
2019-12-29,146,57,89
2019-12-30,84,,84
2019-12-31,133,57,76
2020-01-01,78,,78
2020-01-02,97,,97
2020-01-03,126,59,67
2020-01-04,137,57,80
2020-01-05,149,57,92
2020-01-06,82,,82
2020-01-07,83,,83
2020-01-08,74,,74
2020-01-09,156,59,97
2020-01-10,82,,82
2020-01-11,140,57,83
2020-01-12,130,57,73
2020-01-13,69,,69
2020-01-14,76,,76
2020-01-15,78,,78
2020-01-16,74,,74
2020-01-17,133,57,76
2020-01-18,132,59,73
2020-01-19,132,59,73
2020-01-20,277,68,209
2020-01-21,1120,194,926
2020-01-22,2917,381,2536
2020-01-23,4228,513,3715
2020-01-24,2082,271,1811
2020-01-25,3161,358,2803
2020-01-26,3018,408,2610
2020-01-27,2222,324,1898
2020-01-28,1956,332,1624
2020-01-29,1702,305,1397
2020-01-30,1635,323,1312
2020-01-31,1715,355,1360
2020-02-01,1612,329,1283
2020-02-02,1579,346,1233
2020-02-03,1548,354,1194
2020-02-04,1401,343,1058
2020-02-05,1329,315,1014
2020-02-06,1425,363,1062
2020-02-07,1387,313,1074
2020-02-08,1326,279,1047
2020-02-09,1361,319,1042
2020-02-10,1292,316,976
2020-02-11,1240,281,959
2020-02-12,1196,264,932
2020-02-13,1174,240,934
2020-02-14,1143,223,920
2020-02-15,1108,204,904
2020-02-16,1082,200,882
2020-02-17,1107,225,882
2020-02-18,1088,211,877
2020-02-19,1091,201,890
2020-02-20,1098,218,880
2020-02-21,1137,209,928
2020-02-22,1160,219,941
2020-02-23,1137,201,936
2020-02-24,1093,198,895
2020-02-25,1151,242,909
2020-02-26,1125,218,907
2020-02-27,1093,209,884
2020-02-28,1092,213,879
2020-02-29,1057,165,892
2020-03-01,1041,169,872
2020-03-02,1076,204,872
2020-03-03,1012,175,837
2020-03-04,1034,191,843
2020-03-05,1039,194,845
2020-03-06,911,150,761
2020-03-07,921,173,748
2020-03-08,848,154,694
2020-03-09,954,184,770
2020-03-10,1035,173,862
2020-03-11,990,176,814
2020-03-12,995,154,841
2020-03-13,816,165,651
2020-03-14,761,157,604
2020-03-15,682,123,559
2020-03-16,781,154,627
2020-03-17,658,137,521
2020-03-18,649,127,522
2020-03-19,609,137,472
2020-03-20,551,121,430
2020-03-21,527,93,434
2020-03-22,453,74,379
2020-03-23,528,116,412
2020-03-24,500,99,401
2020-03-25,500,110,390
2020-03-26,500,114,386
2020-03-27,497,97,400
2020-03-28,477,87,390
2020-03-29,469,99,370
2020-03-30,483,131,352
2020-03-31,459,99,360
2020-04-01,470,104,366
