日期,全部,pc,移动
2019-12-01,118,57,61
2019-12-02,,,
2019-12-03,58,,58
2019-12-04,60,,60
2019-12-05,60,,60
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,116,59,57
2019-12-09,58,,58
2019-12-10,60,,60
2019-12-11,61,,61
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,57,,57
2019-12-16,57,,57
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,57,,57
2019-12-27,58,,58
2019-12-28,,,
2019-12-29,,,
2019-12-30,58,,58
2019-12-31,,,
2020-01-01,,,
2020-01-02,63,,63
2020-01-03,,,
2020-01-04,57,,57
2020-01-05,,,
2020-01-06,,,
2020-01-07,57,,57
2020-01-08,57,,57
2020-01-09,57,57,
2020-01-10,58,,58
2020-01-11,57,,57
2020-01-12,,,
2020-01-13,57,,57
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,115,57,58
2020-01-20,61,,61
2020-01-21,216,68,148
2020-01-22,411,91,320
2020-01-23,610,104,506
2020-01-24,354,83,271
2020-01-25,546,87,459
2020-01-26,496,89,407
2020-01-27,363,82,281
2020-01-28,330,74,256
2020-01-29,318,76,242
2020-01-30,304,83,221
2020-01-31,290,82,208
2020-02-01,307,99,208
2020-02-02,301,76,225
2020-02-03,310,93,217
2020-02-04,277,78,199
2020-02-05,277,76,201
2020-02-06,279,82,197
2020-02-07,303,91,212
2020-02-08,283,72,211
2020-02-09,282,80,202
2020-02-10,278,85,193
2020-02-11,276,89,187
2020-02-12,250,80,170
2020-02-13,257,83,174
2020-02-14,229,78,151
2020-02-15,255,74,181
2020-02-16,248,78,170
2020-02-17,217,66,151
2020-02-18,218,63,155
2020-02-19,236,66,170
2020-02-20,239,68,171
2020-02-21,252,72,180
2020-02-22,254,68,186
2020-02-23,292,72,220
2020-02-24,238,74,164
2020-02-25,253,76,177
2020-02-26,246,78,168
2020-02-27,226,78,148
2020-02-28,246,76,170
2020-02-29,227,68,159
2020-03-01,250,74,176
2020-03-02,225,76,149
2020-03-03,192,70,122
2020-03-04,200,66,134
2020-03-05,188,66,122
2020-03-06,181,66,115
2020-03-07,178,61,117
2020-03-08,183,61,122
2020-03-09,181,64,117
2020-03-10,174,57,117
2020-03-11,202,74,128
2020-03-12,172,59,113
2020-03-13,193,70,123
2020-03-14,191,72,119
2020-03-15,174,57,117
2020-03-16,155,59,96
2020-03-17,163,63,100
2020-03-18,148,57,91
2020-03-19,154,68,86
2020-03-20,147,64,83
2020-03-21,150,57,93
2020-03-22,91,,91
2020-03-23,83,,83
2020-03-24,141,57,84
2020-03-25,150,63,87
2020-03-26,140,57,83
2020-03-27,146,59,87
2020-03-28,153,57,96
2020-03-29,143,57,86
2020-03-30,146,64,82
2020-03-31,145,59,86
2020-04-01,156,63,93
