日期,全部,pc,移动
2019-12-01,60,,60
2019-12-02,,,
2019-12-03,,,
2019-12-04,57,57,
2019-12-05,,,
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,58,,58
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,57,,57
2019-12-24,,,
2019-12-25,,,
2019-12-26,58,,58
2019-12-27,,,
2019-12-28,,,
2019-12-29,117,57,60
2019-12-30,,,
2019-12-31,57,,57
2020-01-01,,,
2020-01-02,,,
2020-01-03,57,,57
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,58,,58
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,66,,66
2020-01-21,181,66,115
2020-01-22,346,83,263
2020-01-23,453,93,360
2020-01-24,304,66,238
2020-01-25,404,80,324
2020-01-26,385,83,302
2020-01-27,364,87,277
2020-01-28,308,76,232
2020-01-29,274,87,187
2020-01-30,275,82,193
2020-01-31,266,87,179
2020-02-01,260,76,184
2020-02-02,240,76,164
2020-02-03,242,78,164
2020-02-04,246,82,164
2020-02-05,228,70,158
2020-02-06,244,83,161
2020-02-07,218,70,148
2020-02-08,216,64,152
2020-02-09,221,72,149
2020-02-10,223,72,151
2020-02-11,214,70,144
2020-02-12,201,63,138
2020-02-13,225,74,151
2020-02-14,224,59,165
2020-02-15,186,64,122
2020-02-16,211,64,147
2020-02-17,217,66,151
2020-02-18,192,70,122
2020-02-19,228,76,152
2020-02-20,223,76,147
2020-02-21,219,68,151
2020-02-22,233,82,151
2020-02-23,198,64,134
2020-02-24,197,63,134
2020-02-25,204,63,141
2020-02-26,181,59,122
2020-02-27,196,57,139
2020-02-28,221,66,155
2020-02-29,219,64,155
2020-03-01,186,61,125
2020-03-02,206,57,149
2020-03-03,175,63,112
2020-03-04,205,70,135
2020-03-05,176,61,115
2020-03-06,171,66,105
2020-03-07,180,59,121
2020-03-08,162,63,99
2020-03-09,177,68,109
2020-03-10,171,66,105
2020-03-11,189,63,126
2020-03-12,176,63,113
2020-03-13,163,61,102
2020-03-14,171,61,110
2020-03-15,163,63,100
2020-03-16,156,64,92
2020-03-17,162,63,99
2020-03-18,79,,79
2020-03-19,158,63,95
2020-03-20,159,59,100
2020-03-21,165,61,104
2020-03-22,168,59,109
2020-03-23,141,59,82
2020-03-24,156,59,97
2020-03-25,138,59,79
2020-03-26,139,59,80
2020-03-27,137,57,80
2020-03-28,151,59,92
2020-03-29,74,,74
2020-03-30,138,59,79
2020-03-31,78,,78
2020-04-01,137,61,76
