日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,57,,57
2019-12-08,57,,57
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,57,,57
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,,,
2019-12-25,58,,58
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,57,,57
2019-12-31,,,
2020-01-01,57,,57
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,60,,60
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,57,,57
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,61,,61
2020-01-15,,,
2020-01-16,58,,58
2020-01-17,,,
2020-01-18,57,57,
2020-01-19,,,
2020-01-20,124,59,65
2020-01-21,161,59,102
2020-01-22,328,87,241
2020-01-23,429,91,338
2020-01-24,243,70,173
2020-01-25,466,112,354
2020-01-26,395,99,296
2020-01-27,360,83,277
2020-01-28,326,87,239
2020-01-29,297,76,221
2020-01-30,299,80,219
2020-01-31,286,91,195
2020-02-01,271,87,184
2020-02-02,265,91,174
2020-02-03,263,76,187
2020-02-04,256,93,163
2020-02-05,266,95,171
2020-02-06,252,72,180
2020-02-07,248,74,174
2020-02-08,261,87,174
2020-02-09,269,80,189
2020-02-10,248,78,170
2020-02-11,254,76,178
2020-02-12,224,70,154
2020-02-13,211,68,143
2020-02-14,212,74,138
2020-02-15,202,64,138
2020-02-16,198,68,130
2020-02-17,187,61,126
2020-02-18,215,76,139
2020-02-19,209,61,148
2020-02-20,219,68,151
2020-02-21,214,70,144
2020-02-22,208,61,147
2020-02-23,203,59,144
2020-02-24,207,66,141
2020-02-25,210,80,130
2020-02-26,178,72,106
2020-02-27,183,64,119
2020-02-28,173,64,109
2020-02-29,184,63,121
2020-03-01,170,57,113
2020-03-02,174,61,113
2020-03-03,169,64,105
2020-03-04,172,68,104
2020-03-05,168,64,104
2020-03-06,163,61,102
2020-03-07,153,66,87
2020-03-08,167,63,104
2020-03-09,174,66,108
2020-03-10,167,57,110
2020-03-11,178,66,112
2020-03-12,168,59,109
2020-03-13,155,59,96
2020-03-14,185,66,119
2020-03-15,147,64,83
2020-03-16,158,66,92
2020-03-17,150,66,84
2020-03-18,143,59,84
2020-03-19,146,64,82
2020-03-20,139,59,80
2020-03-21,79,,79
2020-03-22,124,57,67
2020-03-23,128,59,69
2020-03-24,78,,78
2020-03-25,147,61,86
2020-03-26,135,61,74
2020-03-27,86,,86
2020-03-28,137,59,78
2020-03-29,157,61,96
2020-03-30,131,61,70
2020-03-31,76,,76
2020-04-01,84,,84
