日期,全部,pc,移动
2019-12-01,126,57,69
2019-12-02,125,59,66
2019-12-03,58,,58
2019-12-04,65,,65
2019-12-05,61,,61
2019-12-06,126,59,67
2019-12-07,69,,69
2019-12-08,74,,74
2019-12-09,118,57,61
2019-12-10,66,,66
2019-12-11,65,,65
2019-12-12,63,,63
2019-12-13,65,,65
2019-12-14,66,,66
2019-12-15,69,,69
2019-12-16,60,,60
2019-12-17,69,,69
2019-12-18,63,,63
2019-12-19,70,,70
2019-12-20,123,57,66
2019-12-21,65,,65
2019-12-22,65,,65
2019-12-23,70,,70
2019-12-24,58,,58
2019-12-25,120,57,63
2019-12-26,65,,65
2019-12-27,60,,60
2019-12-28,63,,63
2019-12-29,69,,69
2019-12-30,66,,66
2019-12-31,124,57,67
2020-01-01,66,,66
2020-01-02,74,,74
2020-01-03,116,59,57
2020-01-04,115,57,58
2020-01-05,120,57,63
2020-01-06,66,,66
2020-01-07,70,,70
2020-01-08,63,,63
2020-01-09,137,57,80
2020-01-10,60,,60
2020-01-11,122,57,65
2020-01-12,65,,65
2020-01-13,60,,60
2020-01-14,63,,63
2020-01-15,69,,69
2020-01-16,57,,57
2020-01-17,63,,63
2020-01-18,63,,63
2020-01-19,61,,61
2020-01-20,189,57,132
2020-01-21,796,127,669
2020-01-22,1415,175,1240
2020-01-23,1888,194,1694
2020-01-24,1036,127,909
2020-01-25,1270,127,1143
2020-01-26,1184,152,1032
2020-01-27,1058,144,914
2020-01-28,1024,152,872
2020-01-29,982,137,845
2020-01-30,979,150,829
2020-01-31,1038,186,852
2020-02-01,997,154,843
2020-02-02,916,151,765
2020-02-03,924,180,744
2020-02-04,822,151,671
2020-02-05,810,150,660
2020-02-06,827,177,650
2020-02-07,891,155,736
2020-02-08,814,133,681
2020-02-09,874,158,716
2020-02-10,780,142,638
2020-02-11,712,140,572
2020-02-12,637,140,497
2020-02-13,618,127,491
2020-02-14,644,123,521
2020-02-15,595,120,475
2020-02-16,500,116,384
2020-02-17,579,135,444
2020-02-18,533,127,406
2020-02-19,519,112,407
2020-02-20,511,121,390
2020-02-21,562,123,439
2020-02-22,564,114,450
2020-02-23,593,118,475
2020-02-24,488,95,393
2020-02-25,564,121,443
2020-02-26,562,125,437
2020-02-27,534,127,407
2020-02-28,478,106,372
2020-02-29,522,89,433
2020-03-01,494,101,393
2020-03-02,475,116,359
2020-03-03,454,85,369
2020-03-04,422,110,312
2020-03-05,503,129,374
2020-03-06,410,80,330
2020-03-07,397,95,302
2020-03-08,339,80,259
2020-03-09,455,102,353
2020-03-10,554,102,452
2020-03-11,457,108,349
2020-03-12,466,85,381
2020-03-13,386,95,291
2020-03-14,347,83,264
2020-03-15,331,68,263
2020-03-16,354,85,269
2020-03-17,317,83,234
2020-03-18,369,99,270
2020-03-19,325,83,242
2020-03-20,290,87,203
2020-03-21,281,66,215
2020-03-22,239,63,176
2020-03-23,288,80,208
2020-03-24,276,76,200
2020-03-25,250,68,182
2020-03-26,286,78,208
2020-03-27,266,70,196
2020-03-28,246,66,180
2020-03-29,265,72,193
2020-03-30,271,82,189
2020-03-31,269,76,193
2020-04-01,259,76,183
